golden_example_id,rank,query,customer_tweet_id,conversation_root,historical_customer_text,brand_response,bm25_score
3,1,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,2318469,2318469,@115821 why do my orders disappear when an item goes out of stock but I don’t get a notification about it so I can order something else?,@672085 I'm sorry you didn't receive any notifications! Did you receive an e-mail from Amazon about your order? ^DD,20.23860998675558
3,2,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,2795408,2795409,"@690257 @115821 My notification today didn't include a picture. And, the package wasn't on my porch when I went outside to get it. :(","@607009 I'm sorry you haven't received your order yet! We recommend taking a look over these tips: https://t.co/P89dgSTLEx. If you still can't find it, please let us know which carrier is shown under tracking details here: https://t.co/LjFvo9J1qc ^MB",18.067806344099825
3,3,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,1558008,1558008,When you pay for Saturday delivery on @115821 and get a @115817 notification that delivery date has been changed to Monday... 😒,@189394 I'm sorry we weren't able to get your package to you today! Please phone us here: https://t.co/hApLpM3Ejd to report this. ^LB,18.04695311500285
3,4,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,1268992,1268992,My orders are always late when @115821 uses their delivery service. Please go back to #UPS! https://t.co/VNFCwuByXF,"@417132 I'm sorry for the delivery issues. We'd like to look into this, pls send us more info here: https://t.co/4sEB7lVF0Z ^CO",17.085142555310448
3,5,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,46546,46546,When that @115821 notification of a package delivery pops up https://t.co/ehfsX9l0Ll,@126336 That's the same expression I have when there're extra marshmallows in my cereal! ^FR,16.721965194407257
4,1,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,942686,942688,@AmazonHelp your customer service is shit and your people are rude as fuck lmfao,@343475 I'm sorry you've had a poor experience. We'd like to help if we can. Can you tell us what you were contacting us about? ^AL,41.247658720735316
4,2,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,2220201,2220201,When you get amazon prime and have a “guaranteed” delivery date if November 8th and now it says the 11th.... what the fuck is that shit @115821,@648484 I'm sorry to hear about the delay. Was there any further information provided on the delay via email or on your order tracking: https://t.co/Y5jpI9gRhE ? ^MI,34.26828859342189
4,3,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,2288394,2288394,When “Two-Day” Shipping is really 4 Days fuck you @115821 https://t.co/QTW8b89gt4,@664835 Two-Day Shipping refers to business days in transit once the item has departed from us. I'm sorry for the inconvenience this causes. More information on how these dates are calculated can be found here: https://t.co/AWTnlaPvl3 ^DW,31.27907271653813
4,4,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,2516945,2516945,fuck you @115821 for taking $15 from me every month since february. i never signed up for your stupid audible shit and never used it and now i'm out $150 that i REALLY needed.,"@716977 I'm so sorry for this frustrating experience, Juli! This isn't how we intend to do business. We'd like to look into this further with you, but unfortunately we're unable to view your account via Twitter. Please reach us by chat/phone here: https://t.co/hApLpMlfHN ^HS",30.972747911809805
4,5,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,789644,789644,@AmazonHelp how does this work? https://t.co/LIDCiWCGvB,"@308322 Hi, apologies, what's the status of the tracking when you check on the website via a browser: https://t.co/aaDyEz1VgE? ^JJ",30.49812327524102
5,1,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,419403,419402,@119625 Young Sheldon!! Eagerly waiting for the 2md episode.. When will that come out..??,@215019 We haven't had an announcement about this yet. Kindly stay tuned to https://t.co/Oc4q8KP45x for an update. ^SA,23.88664202532332
5,2,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,1259333,1259333,"Dear @119625 , Please add INDU SARKAR in your play list , Eagerly waiting for the movie. Thanks in advance . @53029",@123162 Thanks for your suggestion. I'll forward it internally. ^PS,20.030710056348422
5,3,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,347501,347501,@115850 eagerly waiting for all. 😊😊 https://t.co/eakw6TVrpM,@198756 Someones on a shopping spree! Hope everything you ordered works out for ya! 😃 ^PS,19.56037629326382
5,4,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,1733129,1733129,@119625 please Bring Planet Earth II in 4K HDR,@309722 We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 for the latest movies and TV shows available. ^BS,17.90971570222367
5,5,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,226079,226079,Eagerly Waiting for my F310😘 @115850 ...please get me soon😁,@169977 I get your excitement.😉 You should receive your order by the delivery estimate mentioned here: https://t.co/uwYQF6fVr3 ^EM,17.7462335962736
6,1,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",336173,336173,@AmazonHelp so another whole day wasted waiting in for my item 3 days on the run shocking service,@187547 We want to investigate this further with you. Please reach out to us using this secure link: https://t.co/F0klXNOiJ6 ^GR,33.89570645592405
6,2,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",2136191,2136193,@AmazonHelp Your customer service is poor I wasted a whole day off cancelling my prime,@628417 We'd like to look into this with you. Please reach us by phone using the link KH provided. ^HS,29.35988733178368
6,3,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",1096017,1096015,@AmazonHelp Thank you. Thought to inform you so that u can compare the issue with other sbi holders,@378635 Thanks for bringing this to our notice. ^ZH,28.25884622321753
6,4,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",2513691,2513691,I love @115821 so much! They always have what I need! Thank you for being so awesome! ☺️💕👍🏻,"@716310 Hi Megan, that's great to hear! It's always nice to get nice feedback like this! 😊^JJ",28.14222848386553
6,5,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",226304,226304,#AmazonIndia is this how #amazonUS also worked. I thought Amazon is known for customer satisfaction but in India you are cheating them https://t.co/yfJrJqgEsQ,"@170029 That's quite a remark. Please let us know what went wrong, we'd like to get things right. ^KA",27.738684180792276
7,1,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",2590707,2590707,@115821 why won't you let me log into my account,"@733791 Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM",23.076343140800144
7,2,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",1683613,1683613,"Hey @115821 you locked me out of my account after I bought something and now won’t let me log back in, what gives?!?",@511742 Sorry to hear that! Have you received any recent emails from our accounts team providing clarification or instructions? ^CH,21.375028310398978
7,3,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",1873867,1873867,"Congrats @115830 you have locked my account due to fraud (it wasn't). Following instructions to reset my password, and still can't log in.",@559457 Hi Matthew- Have you received any communication regarding your account? Has info been requested to reopen the acc? ^NV,21.28924139929665
7,4,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",139996,139996,@115830 why have you taken money from my account and then declined my card,"@147582 Sorry to hear about the issues, Ethan! Without providing any personal information can you let us know a little more about the issue? ^GS",21.284642931497874
7,5,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",2682962,2682962,@AmazonHelp my account 9958892918 is locked why ? https://t.co/mijwGmqgPJ,"@667763 If your account has been locked, you'd receive an email from our account specialist team. Please reply to that email. ^RI",20.49053677697171
8,1,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",2601481,2601481,Te amo @116875,@736330 ¡También te amamos Luis! 😍 😍 😍 ^DQ https://t.co/p9OamFYfFl,47.96753496764124
8,2,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",272442,272442,@116875 te amo,"@181029 Nosotros también te amamos, Claudia. 💞 Cuéntanos, ¿qué hemos hecho? 😊 ^JQ",47.96753496764124
8,3,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",327025,327025,TE AMO @116875,"@193933 Hola, Pipepunk, Cuéntanos, ¿Que hicimos para merecer tanto amor? 😍❤️ Pd. Te mandamos un graaaan abrazo 😊. ^AZ https://t.co/daTMaktICP",47.96753496764124
8,4,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",2518029,2518029,Te amo @116875 ❤️,"@717273 😍 Nosotros también te amamos. ❤️ Cuéntanos, ¿qué hemos hecho para merecer ese amor? 💞 ^JQ",46.146891885192616
8,5,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",170935,170935,Te amo @116875 https://t.co/kmd2zEQ78E,"@155863 Hola, Fer. ¡Te amamos también! ❤️ ¿Recibiste este producto hoy? ^ES",46.146891885192616
9,1,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,1109524,1109524,"Why is it every time my order from @115821 ships under its own delivery (amzl us) service I never receive my order on time. Due today, 😂🤣😡",@381837 Hey Sean! My team would like to look into this with you. Please give us more details here: https://t.co/5yFZdIsrpC ^AJ,25.891828991475776
9,2,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,1381495,1381496,I just hope @115821 gets my package here on time tomorrow 😭,@314389 Hey- Is the expected delivery date tomorrow? Who is the carrier? ^NV,24.320238237264036
9,3,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,1535370,1535370,Well every time i order something it dosent get here on time https://t.co/RzUEQLlC2m,"@321995 I'm sorry! So we can better assist, please contact us here: https://t.co/JzP7hlA23B ^WT",24.180297042114674
9,4,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,2595452,2595452,"@AmazonHelp every time I try to buy a 10 dollar Xbox code with my gift card balance it sends me a message saying ""Your order cannot be shipped"" this happens every time I finish the order","@734906 Hi there, we've responded to your DM! ^DW",23.685718396963928
9,5,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,1644687,1644687,I wonder if Amazon is getting tracked by spammers and sending me spoofing emails about great product and deals. It seems it happens every time I order stuff from @115821,"@502599 You can locate info on how to detect and report suspicious e-mails on our Help pages, here: https://t.co/6bOCNwMeOz ^CH",23.48796484426029
10,1,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",2705695,2705695,"Hey @115821 I find it concerning that your shipping service has no clue what happened to my package that was ""delivered"" at a time I was home. -_-","@759892 Thank you for reaching out to us. I'm very sorry we've missed our mark for delivery! This certainly isn't what we strive for and we'd like to help the best we can. Just to confirm, who's the carrier listed for your order here: https://t.co/Y5jpI9gRhE ^NN",27.042434097851043
10,2,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",774627,774627,@AmazonHelp I received a package for the last resident of my house. How do I get that back to you or to her?,@305063 Thanks for bringing this to our attention. Please contact us here so we can look into this with you: https://t.co/EKXRLsnxJu ^GG,26.783374626555545
10,3,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",2531996,2531998,@115821 I need my package like yesterday.,"@306109 Hi,I am very sorry to hear this. Please have a look at this link as it may help locate the parcel:https://t.co/0C423PmRiO ^CR",26.462873694733666
10,4,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",1138370,1138370,"I don't vent much, but wow, @115821 delivery is terrible. For the 2nd time in 3 months, my ""delivered"" package was not received. Unreal.",@388139 I'm sorry about this missing delivery! Who was the carrier for the order? Please check here: https://t.co/W4OKZV5wQk ^BE,26.22584964539251
10,5,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",312837,312837,"@116316 #WheresMyStuff my package was ""delivered""; but I haven't received it!! 😨",@190708 Oh! Please let my colleagues check this: https://t.co/cDHy5WiCek Kind regards ^MF,26.138988500753428
11,1,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",2540315,2540311,@AmazonHelp Au secours c'est encore moi 😌 j'ai envoyé un mail. Et là je reçois un message de mon compte Amazon me disant que mon colis est dispo en point relais.. mais quel point relais le papier de la poste me dit qu'il sera dispo à la poste demain 😭,@722372 Que dit le suivi de votre commande SVP ? ^SM,46.263910500113774
11,2,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",689193,689193,bonjour @120533 mon compte est bloqué et j'aimerai savoir PoUrQuOi. bisous,"@284677 Bonjour, je suis désolé d'apprendre cela. Avez-vous reçu un e-mail vous demandant d'envoyer certains documents par fax? ^ARC",45.653512416144885
11,3,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",2627668,2627669,"@AmazonHelp Chez vous ""En cours de livraison"", chez eux ""Colis refusé"". Alors que j'ai été chez moi et joignable toute la journée. Mais votre service client téléphonique m'a dit que Colis Privé avait eu un souci et ils m'offrent un mois prime de plus... Wouaw...",@742155 Vous a-t-on communiqué une nouvelle date de livraison? ^MD,42.143873712492564
11,4,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",739067,739070,@AmazonHelp Impossible de joindre le SAV puisque mon compte est bloqué,@296760 Vous pouvez le joindre en utilisant ce lien : https://t.co/MBTDQi7u2J ^ARC,41.57429532353555
11,5,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",886138,886138,"@120533 Avoir un abonnement prime et ne pas être livré à la date indiqué... Pas top, pas top... Des explications à me fournir ? https://t.co/FmnRTWcUN4","@330413 Bonsoir, je suis désolée d'apprendre cela. Quel est le transporteur qui prend en charge votre livraison je vous prie ? ^BR",41.35960798439448
12,1,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1101906,1101906,@115821 Why do I pay for prime for two day shipping when my shipping is going to take over a week ??????,"@380007 Hi, Court! Some items have a longer processing time. You can find more information about this here: https://t.co/agO9JlvkYX ^HM",39.50034647346306
12,2,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",816106,816106,@115821 I'm glad that prime shipping takes over a week to leave the warehouse :)))),@314336 I'm sorry the order took longer to ship than expected! Did we miss a delivery date given in your confirmation email? ^AH,32.40354679375225
12,3,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1193992,1193990,@AmazonHelp I did that yesterday. Shouldn't take over a day for a locker to get turned on. Locker name is Oxnard.,"@400551 Our team would like to help. Please send us more info, including cross streets and city here: https://t.co/nuAqQ7KaTn ^EB",31.69497832807314
12,4,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1631143,1631143,Yo @115821 what's the point of paying for a prime membership if my shit is taking a week to get to me?!?,"@499209 Hi, sorry to hear that, are your orders getting delayed in transit or before dispatch? ^JJ",30.722273427250894
12,5,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1569550,1569550,So glad I pay from @115821 prime for my “two-day” shipping to take a week to get here 🙄,@484120 I'm sorry to hear this! Have we missed the delivery date with a recent order of yours? Order info: https://t.co/Y5jpI9gRhE ^WM,30.70448282464594
13,1,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,1525024,1525024,"@115830 you have really poor customer services, not happy at all!!!","@473704 I'm so sorry to hear that, James. Without providing any personal/account info, can you tell us more about your issue? ^BG",21.934074042960333
13,2,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,21430,21428,@115850 Amazon delivery is just too good before expecting date n time and very very easy to track excellent job,@456823 This is exactly what we obsess over. Your convenience and happiness! Thank you for shopping with us! ^MN,21.55408230619139
13,3,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,1284497,1284500,@115850 Amazon very poor service delivery very poor 3day order not dispatch,"@420469 My apologies for the experience, Avtar. Could you please let us know if the delivery date has passed ? ^KS",20.849850611374894
13,4,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,944144,944144,@115821 it’s a good thing you have good customer service because your delivery is horrible. Never on time #amazonprime,@343869 This definitely isn't what we strive for! Have you noticed this happening more often with a specific carrier? ^ML,19.822710191036016
13,5,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,284790,284790,@115830 very poor service.,@183843 I'm sorry to hear this. When you contacted seller support what options or information did we provide? ^GR,19.515224480872433
14,1,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",122022,122022,Que sería de nuestras compras navideñas sin @116875,"@143192 ¡Hola Alex! ¡Nos encanta poder ser parte de estas fechas tan importantes para ti! 🙂Cuéntanos, ¿Que has comprado últimamente? ^PC",35.13800071622523
14,2,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",1086514,1086514,"Te amo @116875 y @178440 ,siempre me llegan las cosas antes de lo estimado. Ya con mi jersey oficial de @72451 @72452 https://t.co/ybi2qx4OJK","@376275 Nuestro objetivo es hacerte feliz, Willy, te mandamos un gran abrazo 🤗. ^AZ",28.33892144101964
14,3,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",272442,272442,@116875 te amo,"@181029 Nosotros también te amamos, Claudia. 💞 Cuéntanos, ¿qué hemos hecho? 😊 ^JQ",27.697890513647454
14,4,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",2601481,2601481,Te amo @116875,@736330 ¡También te amamos Luis! 😍 😍 😍 ^DQ https://t.co/p9OamFYfFl,27.697890513647454
14,5,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",327025,327025,TE AMO @116875,"@193933 Hola, Pipepunk, Cuéntanos, ¿Que hicimos para merecer tanto amor? 😍❤️ Pd. Te mandamos un graaaan abrazo 😊. ^AZ https://t.co/daTMaktICP",27.697890513647454
15,1,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,444444,444444,Superfast delivery by @115850 under 20hrs..Its time to try the best phone of 2017 #Oneplus5T @132994 ..Superexcited 😍 @149087,@220279 We're excited as well to hear that :D Please tell us how you like the product! ^BS,18.82165518357311
15,2,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,1689490,1689490,@AmazonHelp the extra 3000 off on exchange with phone to buy one plus 5 @132994 Is not available! Please look after that,"@150316 Please reach out to us, here: https://t.co/vlvfJr4nN9 and we'll check this. ^YP",18.407111446390033
15,3,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,1142012,1142012,"Seems @115821 @AmazonHelp are up to their old tricks - this time buy through their global store and you have no rights,they say.",@182232 We'd like to help! Without adding personal/account information can you tell us more about what happened? ^ME,17.537988227912052
15,4,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,679858,679858,@115850 @132994 @132995 No exchange offer on 5T?,"@282208 The Exchange Offer is currently available only on select Mobiles. If a product is eligible for the Exchange Offer, you will see an option to buy ‘With Exchange’ on its product detail page. ^SF",17.423789664330386
15,5,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,865798,865806,"@AmazonHelp Hey, you're @AmazonHelp @115821 right??? I've already gone through this on the phone today. Figure it out","@325603 Please contact us using the link provided, we can't see your account details on Social Media. ^BD",16.92080186832749
16,1,Hey @115850 when will be @118062 's reputation magazines available in Stock?,1258940,1258940,"@115850 Hi, can you update me when will OnePlus 3T be available in stock?","@414989 Currently, we do not have any information. Keep checking back on our website. ^PS",28.53816922423844
16,2,Hey @115850 when will be @118062 's reputation magazines available in Stock?,622519,622519,@115850 where the hell are the reputation magazines,@267755 I couldn't comprehend the concern. Kindly elaborate on your concern so that we can assist you accordingly. ^RI,25.407728824355644
16,3,Hey @115850 when will be @118062 's reputation magazines available in Stock?,2541078,2541078,@AmazonHelp when will Xbox One X be back in Stock?,"@722540 Hi, we don't currently have a set date for when we will receive them back in stock, I'm afraid. Which one of our sites is your account on? Is it https://t.co/nUUp5MLhYl, https://t.co/ykTUEmdsQA, or one of our other sites? ^PJ",23.07687011944006
16,4,Hey @115850 when will be @118062 's reputation magazines available in Stock?,2475909,2475909,But @115850 says it's currently unavailable. When will it be back in stock? https://t.co/6icFJFTyVa,@707771 I've checked and see that the product is now unavailable on our website and we wouldn't be able to speculate how soon this product will be available on our website. ^SU,23.000494579184416
16,5,Hey @115850 when will be @118062 's reputation magazines available in Stock?,2260806,2260806,@116935 why can't I but @118062 Reputation album?,"@336083 I'm sorry for the trouble. Just to clarify, are you trying to purchase the CD or the MP3 tracks? If you're looking for the CD, we sell it here: https://t.co/dAwdw0Y6Ha ^BH",22.889620022577798
17,1,"Caro @120540 , io ti voglio bene e lo puoi capire anche dallo  storico dei miei ordini... 

PERÒ...

NON PUOI SCRIVERE ""SPEDIZIONE 1 GIORNO"" E POI ME LO FAI ARRIVARE LA SETTIMANA DOPO",1261464,1261464,"@120540 mi stai deludendo. Non puoi avere l'S8 allo stesso prezzo dei negozi. No, non lo accetto.",@415509 I prezzi sul nostro sito cambiano continuamente. Visita il catalogo di tanto in tanto per rimanere aggiornato! A presto! ^FS,53.0999747691678
17,2,"Caro @120540 , io ti voglio bene e lo puoi capire anche dallo  storico dei miei ordini... 

PERÒ...

NON PUOI SCRIVERE ""SPEDIZIONE 1 GIORNO"" E POI ME LO FAI ARRIVARE LA SETTIMANA DOPO",145792,145792,"Certo, tu guardi le offerte Black Friday è su @120540 ti parte un ordine di una fotocamera. Te ne accorgi dopo 3 ore e non te lo annullano più. Io la chiamo truffa questa cosa qui","@149067 Gli ordini possono essere effettuati solo dai clienti. Contatta il Servizio Clienti per richiedere assistenza, tramite questo link: https://t.co/aZ4nWoOckH. A presto! ^CS",39.7468801170994
