golden_example_id,golden_intent,customer_message,rank,retrieval_score,retrieved_customer_text,retrieved_brand_response,retrieved_conversation_root,retrieved_customer_created_at
4,,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,3,32.55033056307164,"When @115821 and @115817 say your shit was delivered but there ain't shit there; call up support ""did you check by the front door"" fuck yall",@380137 I'm sorry the order hasn't been located. What options were we able to offer? Did we ask you to wait for more otpions? ^BE,1102449,2017-10-23 22:55:06+00:00
4,,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,4,32.433506894910195,When “Two-Day” Shipping is really 4 Days fuck you @115821 https://t.co/QTW8b89gt4,@664835 Two-Day Shipping refers to business days in transit once the item has departed from us. I'm sorry for the inconvenience this causes. More information on how these dates are calculated can be found here: https://t.co/AWTnlaPvl3 ^DW,2288394,2017-11-12 03:46:38+00:00
4,,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,5,30.416366586530835,fuck you @115821 for taking $15 from me every month since february. i never signed up for your stupid audible shit and never used it and now i'm out $150 that i REALLY needed.,"@716977 I'm so sorry for this frustrating experience, Juli! This isn't how we intend to do business. We'd like to look into this further with you, but unfortunately we're unable to view your account via Twitter. Please reach us by chat/phone here: https://t.co/hApLpMlfHN ^HS",2516945,2017-11-16 00:00:04+00:00
5,,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,1,20.83614124282617,@115850 eagerly waiting for all.  😊😊 https://t.co/eakw6TVrpM,@198756 Someones on a shopping spree! Hope everything you ordered works out for ya! 😃 ^PS,347501,2017-10-08 04:21:06+00:00
5,,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,2,18.678227571430703,@119625 Young Sheldon!! Eagerly waiting for the 2md episode.. When will that come out..??,@215019 We haven't had an announcement about this yet. Kindly stay tuned to https://t.co/Oc4q8KP45x for an update. ^SA,419402,2017-10-12 10:59:03+00:00
5,,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,3,18.080566708303884,"Eagerly Waiting for my F310😘
@115850 ...please get me soon😁",@169977 I get your excitement.😉 You should receive your order by the delivery estimate mentioned here: https://t.co/uwYQF6fVr3 ^EM,226079,2017-10-05 05:58:38+00:00
5,,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,4,17.62059853146134,@115850 I'm waiting for that ...,@145223 You'd receive an update anytime soon. Appreciate your patience. ^EM,5159,2017-11-24 05:46:53+00:00
5,,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,5,17.397275147351113,@115850 @116935 when will Amazon music be available for prime members in India ? Eagerly waiting for it,@194377 We currently do not have any announcements regarding this. Please stay tuned for updates. ^ZH,2178573,2017-10-29 04:29:15+00:00
6,,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",1,33.738073512727155,@AmazonHelp so another whole day wasted waiting in for my item 3 days on the run shocking service,@187547 We want to investigate this further with you. Please reach out to us using this secure link: https://t.co/F0klXNOiJ6 ^GR,336173,2017-10-07 21:03:00+00:00
6,,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",2,29.06923610469657,@AmazonHelp Your customer service is poor I wasted a whole day off cancelling my prime,@628417 We'd like to look into this with you. Please reach us by phone using the link KH provided. ^HS,2136193,2017-11-08 21:22:36+00:00
6,,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",3,28.18033648301074,@AmazonHelp Thank you. Thought to inform you so that u can compare the issue with other sbi holders,@378635 Thanks for bringing this to our notice. ^ZH,1096015,2017-10-15 05:52:19+00:00
6,,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",4,27.846249715523637,I love @115821 so much! They always have what I need! Thank you for being so awesome! ☺️💕👍🏻,"@716310 Hi Megan, that's great to hear! It's always nice to get nice feedback like this! 😊^JJ",2513691,2017-10-30 07:02:29+00:00
6,,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",5,27.488123589633332,@AmazonHelp @115850  never help in person in your side.. totally disappointed your service ..I also going Court against you,@216727 link provided earlier . ^AR 2/2,427777,2017-10-10 13:23:54+00:00
7,,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",1,23.140609296126495,@115821 why won't you let me log into my account,"@733791 Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM",2590707,2017-10-30 19:44:14+00:00
7,,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",2,21.518807781279204,@AmazonHelp my account 9958892918 is locked why ? https://t.co/mijwGmqgPJ,"@667763 If your account has been locked, you'd receive an email from our account specialist team. Please reply to that email. ^RI",2682962,2017-10-31 16:26:32+00:00
7,,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",3,21.15100369073841,"Hey @115821 you locked me out of my account after I bought something and now won’t let me log back in, what gives?!?",@511742 Sorry to hear that! Have you received any recent emails from our accounts team providing clarification or instructions? ^CH,1683613,2017-11-06 16:44:09+00:00
7,,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",4,20.40086842598889,@AmazonHelp @115821 Please let me know why I should let my account renew on Wednesday.,"@169935 I'm sorry to hear we've let you down, Cait! Have you noticed this happening more often with a specific carrier? ^ML",309471,2017-10-07 01:24:09+00:00
7,,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",5,19.964664430924756,@AmazonHelp I would love to connect but the above link requires me to sign in and you have my account locked,@497785 The link provided by ^JZ should have an option to skip log-in towards the bottom of the page. Please keep us updated. ^WT,1625461,2017-11-05 18:46:48+00:00
8,,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",1,43.36602383709422,Te amo @116875,@736330 ¡También te amamos Luis! 😍 😍 😍 ^DQ https://t.co/p9OamFYfFl,2601481,2017-11-17 07:49:25+00:00
8,,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",2,43.36602383709422,@116875 te amo,"@181029 Nosotros también te amamos, Claudia. 💞 Cuéntanos, ¿qué hemos hecho? 😊 ^JQ",272442,2017-10-06 03:38:18+00:00
8,,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",3,43.36602383709422,@115821 TE AMO,"@770582 Nosotros también te amamos, Nora. 😍 Cuéntanos, ¿qué hemos hecho para merecer ese amor? 😊 ^JQ",2752654,2017-11-21 00:33:03+00:00
8,,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",4,43.36602383709422,@117086 Te amo @117086,@734638 Nós também te amamos Valéria! Qual é a causa de sua felicidade? 😍📚👏 ^JJ,2593163,2017-11-17 02:40:13+00:00
8,,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",5,43.36602383709422,TE AMO @116875,"@193933 Hola, Pipepunk, Cuéntanos, ¿Que hicimos para merecer tanto amor? 😍❤️
Pd. Te mandamos un graaaan abrazo 😊. ^AZ https://t.co/daTMaktICP",327025,2017-10-07 16:29:14+00:00
9,,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,1,25.64737840202443,"Hey, @AmazonHelp:
Someone is stalking me on your platform using the name of a stalking victim who committed suicide.
https://t.co/uMorv2gy9u https://t.co/DkstOgXNLw",@227732 Hey Tim. Please forward your details - https://t.co/tkLCr7DNil we'd like to investigate further. ^TP,850184,2017-10-13 12:46:40+00:00
9,,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,2,23.660924822052817,Well every time i order something it dosent get here on time https://t.co/RzUEQLlC2m,"@321995 I'm sorry! So we can better assist, please contact us here: https://t.co/JzP7hlA23B ^WT",1535370,2017-10-17 02:23:22+00:00
9,,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,3,23.05149992441151,"Why is it every time my order from @115821 ships under its own delivery (amzl us) service I never receive my order on time. Due today, 😂🤣😡",@381837 Hey Sean! My team would like to look into this with you. Please give us more details here: https://t.co/5yFZdIsrpC ^AJ,1109524,2017-10-24 01:02:23+00:00
9,,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,4,22.748674579415383,"@AmazonHelp every time I try to buy a 10 dollar Xbox code with my gift card balance it sends me a message saying ""Your order cannot be shipped"" this happens every time I finish the order","@734906 Hi there, we've responded to your DM! ^DW",2595452,2017-11-17 03:17:32+00:00
9,,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,5,22.3258038130168,@115830 absolutely useless. Every time I order something on prime it never arrives on time. I order with prime to get it on time. #useless,@663503 I’m sorry for the trouble! Have we missed the estimated delivery date provided in your order confirmation email? ^LA,2282922,2017-11-11 21:40:23+00:00
10,,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",1,26.517747454871845,@AmazonHelp I have not received my package which was to be delivered yesterday.,@318100 we'll be happy to help. 2/2 ^SH,831817,2017-10-13 04:38:52+00:00
10,,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",2,26.517747454871845,@AmazonHelp I have not received my package which was to be delivered yesterday.,@318100 I'm sorry you haven't received the package yet. Please contact our support team here: https://t.co/XInSyGQaJE and 1/2 ^SH,831817,2017-10-13 04:38:52+00:00
10,,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",3,26.348449824173578,@AmazonHelp I received a package for the last resident of my house. How do I get that back to you or to her?,@305063 Thanks for bringing this to our attention. Please contact us here so we can look into this with you: https://t.co/EKXRLsnxJu ^GG,774627,2017-10-12 02:17:55+00:00
10,,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",4,25.96434645638246,"@116316 #WheresMyStuff my package was ""delivered""; but I haven't received it!! 😨",@190708 Oh! Please let my colleagues check this: https://t.co/cDHy5WiCek Kind regards ^MF,312837,2017-10-06 23:59:54+00:00
10,,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",5,25.48980717130204,@AmazonHelp Still haven't gotten my package,@312323 I'm sorry your package hasn't arrived! Can you tell us when it was expected and what the current tracking shows when you check here: https://t.co/Y5jpI9gRhE? ^EZ,2516990,2017-11-15 23:44:46+00:00
11,,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",1,44.87144109894007,@AmazonHelp Au secours c'est encore moi 😌 j'ai envoyé un mail. Et là je reçois un message de mon compte Amazon me disant que mon colis est dispo en point relais.. mais quel point relais le papier de la poste me dit qu'il sera dispo à la poste demain 😭,@722372 Que dit le suivi de votre commande SVP ? ^SM,2540311,2017-11-17 06:53:04+00:00
11,,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",2,41.74472599287723,"bonjour @120533 mon compte est bloqué et j'aimerai savoir PoUrQuOi.
bisous","@284677 Bonjour, je suis désolé d'apprendre cela. Avez-vous reçu un e-mail vous demandant d'envoyer certains documents par fax? ^ARC",689193,2017-11-23 14:27:33+00:00
11,,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",3,41.240757832324846,"@115821 après un chat direct avec vous au sujet d'une commande ne venant pas de moi, vous avez tout de même débité mon compte de 110,94€. ??","@120912 Bonjour, quelle était la réponse du service client à ce sujet lors du chat ? ^KD",22476,2017-09-26 09:49:07+00:00
11,,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",4,40.93589878030765,"@AmazonHelp Chez vous ""En cours de livraison"", chez eux ""Colis refusé"". Alors que j'ai été chez moi et joignable toute la journée. Mais votre service client téléphonique m'a dit que Colis Privé avait eu un souci et ils m'offrent un mois prime de plus... Wouaw...","@742155 Vous a-t-on communiqué une nouvelle date de livraison?
^MD",2627669,2017-11-17 17:03:09+00:00
11,,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",5,39.426997553705824,@AmazonHelp Impossible de joindre le SAV puisque mon compte est bloqué,"@296760 Vous pouvez le joindre en utilisant ce lien : https://t.co/MBTDQi7u2J
^ARC",739069,2017-10-11 13:00:43+00:00
12,,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1,37.197922178019006,@115821 Why do I pay for prime for two day shipping when my shipping is going to take over a week ??????,"@380007 Hi, Court! Some items have a longer processing time. You can find more information about this here: https://t.co/agO9JlvkYX ^HM",1101906,2017-10-23 22:57:31+00:00
12,,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",2,31.503580419520226,@AmazonHelp I did that yesterday.  Shouldn't take over a day for a locker to get turned on.  Locker name is Oxnard.,"@400551 Our team would like to help. Please send us more info, including cross streets and city here: https://t.co/nuAqQ7KaTn ^EB",1193990,2017-10-25 01:49:07+00:00
12,,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",3,31.43554659261463,@AmazonHelp What does it take to shut off A Prime? Over a month ago I requested it to be shut off... And I just got charged again. I don't use it and I want my money back!,@670041 I'm sorry for the unexpected charges you've received! You can cancel your Amazon Prime membership and request a refund here: https://t.co/RCrAZ1f5fT Let us know if this helps! ^EB,2290193,2017-11-13 04:11:51+00:00
12,,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",4,30.53240524119238,@115821 I'm glad that prime shipping takes over a week to leave the warehouse :)))),@314336 I'm sorry the order took longer to ship than expected! Did we miss a delivery date given in your confirmation email? ^AH,816106,2017-10-12 20:40:24+00:00
12,,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",5,30.076062511033395,I love how I pay for Prime and my package that I really needed in 2 days is going to take over a week to get to me @AmazonHelp 👎🏼👎🏼👎🏼,@184039 We're here to help! Have we missed our expected delivery date we provided? Check here: https://t.co/Y5jpI9gRhE ^JE,285629,2017-10-06 14:18:03+00:00
13,,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,1,21.468786771071848,@115821 not a good service provide by Amazon and delivery is very poor,@158463 I'm sorry for the unpleasant experience. We'd like to work on it. Kindly report this to our support team (1/2)^AP,180617,2017-10-04 11:42:32+00:00
13,,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,2,21.468786771071848,@115821 not a good service provide by Amazon and delivery is very poor,"@158463 here: https://t.co/2t6DQoUmNZ, we'll get back to you soon. (2/2)^AP",180617,2017-10-04 11:42:32+00:00
13,,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,3,21.232971453985453,@115850 Amazon delivery is just too good before expecting date n time and very very easy to track excellent job,@456823 This is exactly what we obsess over. Your convenience and happiness! Thank you for shopping with us! ^MN,21428,2017-11-02 17:30:15+00:00
13,,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,4,20.258028300904066,@115850 Amazon very poor service delivery very poor 3day order  not dispatch,"@420469 My apologies for the experience, Avtar. Could you please let us know if the delivery date has passed ? ^KS",1284500,2017-10-17 15:11:12+00:00
13,,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,5,19.718019805914935,@115821 it’s a good thing you have good customer service because your delivery is horrible. Never on time #amazonprime,@343869 This definitely isn't what we strive for! Have you noticed this happening more often with a specific carrier? ^ML,944144,2017-10-14 00:14:31+00:00
14,,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",1,30.053362926987273,Que sería de nuestras compras navideñas sin @116875,"@143192 ¡Hola Alex! ¡Nos encanta poder ser parte de estas fechas tan importantes para ti! 🙂Cuéntanos, ¿Que has comprado últimamente?  ^PC",122022,2017-11-24 00:01:58+00:00
14,,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",2,27.350288531873108,"Te amo @116875 y @178440 ,siempre me llegan las cosas antes de lo estimado. Ya con mi jersey oficial de @72451 @72452 https://t.co/ybi2qx4OJK","@376275 Nuestro objetivo es hacerte feliz, Willy, te mandamos un gran abrazo 🤗. ^AZ",1086514,2017-10-13 17:36:57+00:00
14,,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",3,22.519367741321908,@116875 mi suscripción a Amazon prime aplica para compras en Amazon usa?,"@760373 Hola, Pablito. Las membresías son exclusivas de cada página, por lo que tu suscripción Prime de Amazon México no aplica para https://t.co/nUUp5MLhYl. ^JQ",2707610,2017-11-20 00:04:21+00:00
14,,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",4,22.303511925307642,PORRA AMAZON EU TE AMO @117086,"@682703 Olá, Camila! Nós agradecemos seus comentários. Conte para nós o que fizemos para merecer o seu carinho?. Ficamos curiosos. ^NB",2364661,2017-11-13 21:51:16+00:00
14,,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",5,21.863678948740816,"Te amo más que a Mi Banda El Mexicano, @116875 .","@145531 ¡Hola Zero the Hero! Gracias por amarnos tanto, nosotros también a ti. 😍 Cuéntanos, ¿has aprovechado las ofertas del Black Friday? ^DQ https://t.co/L3x71OCZGa",130803,2017-11-24 06:55:34+00:00
15,,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,1,15.229634277144125,"Seems @115821 @AmazonHelp are up to their old tricks - this time buy through their global store and you have no rights,they say.",@182232 We'd like to help! Without adding personal/account information can you tell us more about what happened? ^ME,1142012,2017-10-24 15:39:16+00:00
15,,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,2,13.790301120491765,"@115830 this has happened again, nothing delivered. 
I don't have time to keep making these phone calls. https://t.co/vKpwpbLpvV",@207292 Sorry to hear about this. Have you looked at this?: https://t.co/5EsZnmVL6H ^PK,385656,2017-10-09 12:03:50+00:00
15,,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,3,13.67478164844549,@AmazonHelp Order#406-0742174-5678757..frst time Amazon Lie..Seriously in futr don't think to buy anythng,"@352075 We'd like to help, kindly send us your details through the link shared earlier and we'll reach out to you soon. 1/2 ^MA",978544,2017-10-14 13:31:43+00:00
15,,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,4,13.67478164844549,@AmazonHelp Order#406-0742174-5678757..frst time Amazon Lie..Seriously in futr don't think to buy anythng,"@352075 Please don’t provide the order details, we consider it to be personal info. Our Twitter page is visible to public. 2/2 ^MA",978544,2017-10-14 13:31:43+00:00
15,,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,5,13.587989414697283,"@AmazonHelp Hey, you're @AmazonHelp @115821 right??? I've already gone through this on the phone today.  Figure it out","@325603 Please contact us using the link provided, we can't see your account details on Social Media. ^BD",865806,2017-11-20 07:58:34+00:00
16,,Hey @115850 when will be @118062 's reputation magazines available in Stock?,1,32.438923162872705,"@AmazonHelp Hi, when will the reputation magazines be available again to order from the UK site? https://t.co/CMx0q54dsG","@498074 Currently we don't have any further info on this product. Please keep checking back on the site for more info, Eleasha! ^CN",1626627,2017-11-05 18:45:01+00:00
