golden_example_id,customer_message,draft_response,human_factuality,llm_factuality,human_grounding,llm_grounding,human_helpfulness,llm_helpfulness,human_overall_quality,llm_overall_quality,human_safe_to_auto_answer,llm_safe_to_auto_answer,llm_reason
70,@AmazonHelp please help me!! My product is ‘waiting for collection’. Nowhere can I find which company it is and it’s not at my local post office and nowhere on email or tracking. I am completely lost!!!!,We're here to help! Could you please provide the tracking details so we can check the status of your order? You can find them on the order confirmation email or by logging into your Amazon account.,2,1,2,1,2,1,2,1,0,1,"The reply is generally reasonable and asks for tracking details, which could help, but it is generic and does not address the customer's specific issue about a collection company or waiting-for-collection status. It is only partly grounded in the evidence, which shows collection-point and collection problems, but it adds unsupported guidance about finding details in the order confirmation email or Amazon account."
78,@119625 why you are not uploading Mr. Robot Season 3 on prime video ?,We’re constantly adding new content to our library. Stay tuned for updates on Mr. Robot Season 3. You can also check the Prime Video site and social media for the latest information.,2,1,2,1,2,1,2,1,0,1,"The reply is generic but not clearly incorrect. It is loosely grounded in the historical evidence showing repeated customer questions about Mr. Robot Season 3 availability, but it adds unsupported guidance about Prime Video site and social media without addressing the specific availability concern."
97,"Recibo una media de quince paquetes mensuales de @116928 y LOS ÚNICOS que siempre entregan con retraso, son @135806 @137605","Hola, lamentamos el retraso en tus entregas. ¿Podrías indicarnos si estos pedidos fueron gestionados por Amazon directamente o por un vendedor externo? También, ¿has contactado con la compañía de transporte para obtener más detalles sobre el retraso?",2,1,2,1,2,1,2,1,0,1,"The reply is polite and asks a reasonable clarifying question, but it adds unsupported assumptions about Amazon directly vs. third-party seller and contacting the transport company. It is only loosely grounded in the evidence, which shows complaints about delayed deliveries and a specific carrier, but it does not directly address the customer's pattern of repeated delays with those packages."
114,"Great, Amazon order is showing as delivered ""handed to resident"" at 11.57. They weren't so where are my items @115830",I'm sorry you haven't received your order. We'd like to look into the delivery and available options here: https://t.co/JzP7hlA23B. Please provide more details about the situation so we can assist you further.,2,1,2,1,2,1,2,1,0,1,"The reply is broadly appropriate and matches the issue of a falsely marked 'handed to resident' delivery, but it adds an unsupported external link and is generic rather than directly addressing the customer's specific concern. It is still safe and somewhat helpful, though not strongly grounded in the evidence."
121,@115830 your listing showed the item on the left and promised “no wires” what I got was on the right and they want to deduct postage from the refund. Very unimpressed. https://t.co/BS67hqN3yr,I'm sorry to hear about the discrepancy between the item you ordered and what you received. Could you please provide us with your order number so we can investigate further? You can also contact our support team at https://www.amazon.com/gp/contact/amazonsupport for assistance.,1,1,1,0,2,1,1,1,0,0,"The reply is polite and asks for an order number, but it adds an unsupported external support link and does not address the refund/postage deduction concern. It is only loosely grounded in the evidence about wrong-item complaints."
139,"@AmazonHelp Ademas de que era el regalo de cumpleaños de mi padre, y ahora pues sirve de bien poco que lo envien, ya que el no esta.",@AmazonHelp Lamento que el regalo de cumpleaños de su padre no llegara a tiempo. Recomiendamos que contacten con nuestro servicio de atención al cliente para verificar las posibles soluciones. ¿El pedido era gestionado por Amazon o por un vendedor independiente?,2,1,2,1,2,1,2,1,0,1,"The reply is polite and acknowledges the late birthday gift, which matches the complaint. However, it adds an unsupported suggestion to contact customer service and asks whether the order was fulfilled by Amazon or a third-party seller, neither of which is grounded in the evidence. It is somewhat helpful but generic."
149,@115850 service sucks. Never trust amazon.,We've responded to similar concerns here: https://t.co/XoYCH1ahht. Please check and let us know if you need further assistance.,2,0,2,0,1,0,1,0,0,0,The reply invents a specific external link and claims a prior response without support from the customer message or historical evidence. It does not address the complaint or offer a grounded next step.
185,"架空請求のSMS来た
Amazonで有料動画とか見覚えなさすぎたから調べたら架空請求だった
身近なんですね",企業を装って個人情報を取得しようとする詐欺が発生しているようです。架空請求を受け取られた場合、連絡や個人情報を提供しないようご注意ください。追加の詳細が必要な場合は、再度ご連絡ください。,2,2,2,2,2,1,2,1,0,1,"The reply is factually safe and consistent with the evidence that Amazon-impersonation SMS scams exist. However, it is generic and does not directly address the customer's comment or provide a concrete next step beyond not sharing information."
190,@AmazonHelp What happened to this in shipping? I'm afraid to feed my cats half of these cans because they're that damaged. https://t.co/338hgby0rx,I'm sorry to hear about the damaged cans in your shipment. We'd like to help. Please reach out to our Customer Support team via phone or chat here: https://t.co/hApLpMlfHN.,2,1,2,1,2,1,2,1,0,1,"The reply correctly acknowledges damaged cans and offers support, which is consistent with the historical evidence about damaged cat food/cans. However, it adds an unsupported phone/chat link and does not address the likely need for replacement/refund or what to do about unsafe cans, so it is only partially helpful."
198,"ねえこれ何？？？
Amazonなんか使ってないんだけど
アカウントはあるけど何も買ってないんだけど。
誰かにアカウント悪用されてるのかな？？？かけたほうがいいの？？？ https://t.co/enCIy8aFML",ご心配ありがとうございます。最近何か届いた荷物はありませんか？もし、注文していない商品が届いた場合は、お手数ですがカスタマーサービスに連絡してください。https://t.co/J6YEizo6qC,2,1,2,1,2,1,2,1,0,0,"The reply is generally reasonable and aligns with the evidence that Amazon-related unexpected activity can warrant contacting customer service, but it adds an unsupported assumption about a delivered item and does not directly address possible account misuse or whether the customer should call. It is somewhat helpful but incomplete, so human review is safer."
