golden_example_id,rank,query,customer_tweet_id,conversation_root,historical_customer_text,brand_response,dense_score
3,1,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,2499167,2499167,"@115830 What’s happening to your delivery service,my last two orders have been left on the doorstep in plain sight and today I received one of your new style missed delivery notifications! https://t.co/D3TCpTj1XX","@713069 I apologize about poor experience with us! Have you set a safe place for our drivers to leave your package, you can find more information about that here: https://t.co/F45DdMuOyr ^LS",0.8430906534194946
3,2,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,390354,390354,"@115850 I was to receive my order today, Also got a message from your end confirming that order is out for delivery but haven’t recd yet","@208417 Something must've gone wrong, Megh. Please report this to our support team here: https://t.co/vlvfJr4nN9 ^JC",0.8336504697799683
3,3,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,433004,433004,"@115850 Trying to get my order delivered since last three days. same story everyday, you message me that your order is out for delivery,",@217987 I'm sorry about the delay in the delivery. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^MA,0.8190767765045166
3,4,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,1801019,1801019,Damn @115821. My order has been “out for delivery” since 2pm yesterday with the promise of having it to me by 8pm yesterday. Still not here.,@541157 I'm sorry you haven't received your order yet! Who is the listed carrier for this: https://t.co/Y5jpI9gRhE? ^JP,0.816946268081665
3,5,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,257688,257688,Still waiting for my @115830 delivery to arrive... confusing notifications from Amazon however.,@177297 Sorry for the long wait! What is your current order status showing when you review your details here: https://t.co/aaDyEz1VgE ^WM,0.8124216794967651
4,1,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,2477490,2477490,@AmazonHelp Why is your delivery so useless?,@708135 That's not the impression we'd like to leave you with. Would you mind telling us more about what's going on? Please don't include any account details. ^RA,0.7401573657989502
4,2,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,1503961,1503961,@AmazonHelp what’s the point of delivery pics? I was home and stood at the door when the driver pulled up. He still placed the package down and took a picture of it...,@469072 Hi Renee - some carriers use it as proof of delivery ^TD,0.7349309325218201
4,3,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,776106,776115,@AmazonHelp Fudging when things are actually delivered isn't smart these days. Cameras everywhere. Where is the data?,"@305445 Hi Jennifer? Are you currently experiencing an issue with an order? Without providing account info, can you tell us more? ^WT",0.7200015187263489
4,4,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,1474132,1474132,@AmazonHelp how do I opt into photo delivery? I hit opt out to see what happens but I actually want it. #prime #amazon,@462199 Thanks for reaching out to us! We'd love to help you set that up so please reach out to us here: https://t.co/hApLpMlfHN ^DD,0.708703339099884
4,5,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,1396668,1396668,@AmazonHelp why do you tell people packages have been delivered before they are delivered?,@444783 Oh no! Do you have an order that's showing as delivered but you haven't yet received it? ^LB,0.7078049182891846
5,1,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,1544060,1544064,@115821 I never thought this day would come. 😢,"@478302 I'm so sorry! When this happens, is it a carrier in particular? Check under tracking info: https://t.co/Y5jpI9gRhE ^WT",0.726858377456665
5,2,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,2569213,2569216,@115821 Right now I just hoping it arrives by the end of the year.,@728698 Oh no! Was the item being shipped from Amazon or a seller directly? Find it here:https://t.co/Y5jpI9gRhE We want to help!^ZW,0.7101384401321411
5,3,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,2277146,2277147,@144779 is it coming on @119625 also?,"@207104 Currently, we don't have any information about this. If and when available, you'll be able to see it on our website. ^MP",0.6978253126144409
5,4,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,703810,703810,@115821 I'm very disappointed! #NOTHAPPY,"@157520 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more information? ^AC",0.6956982612609863
5,5,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,714188,714188,@117093 is pretty freakin cool. I can't wait til they expand their inventory just a little bit more 😁 I'm hooked!,@290841 You could say we reeled you in! 😉 Keep an eye out on our site. We're constantly expanding our inventory. ^JM,0.6923720836639404
6,1,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",130380,130380,"VERY VERY POOR SERVICE BY @7527 AND ITS COURIER AT SURAT, GUJARAT. I COMPLAINT AGAINST AT NATIONAL CONSUMER COURT AS U FIND GUILTY. I DIDN'T RECEIVE MY ORDER. CLOSE UP THE SERVICE @115821 .",@145396 Sorry to know that you haven't received your order. Kindly report this to our support team here: https://t.co/hITbmQzz2y &amp; we'll get it checked. I've noted your comments regarding the courier services and have forwarded your feedback internally to be worked upon. ^SY,0.6486940383911133
6,2,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",1687779,1687779,"@115850 been facing order delivery issues @ Hinjewadi ph 3, Techmahindra. The delivery folks have been consistently rude nd unprofessional","@512523 Sorry about the bad experience. Please connect with us here: https://t.co/vlvfJr4nN9, so we can get this escalated. ^NR",0.6484990119934082
6,3,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",388808,388808,"@115850 - Delivery services are not good now a days. The delivery agents lie about customer unavailability, customer care cant help.",@208002 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,0.6416035890579224
6,4,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",1988697,1988697,"@115850 After such pathetic service from your delivery people, I'm done with you. And you better stop One day delivery promise, coz your delivery people don't consider it.","@588595 I'm sorry to know about the delivery experience you've had. Our support team would be happy to help you out! Please contact us from here: https://t.co/vlvfJr4nN9, let us know how things go. ^MP",0.6412582397460938
6,5,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",2769073,2769073,@115850 have had pretty horrible experience with your delivery executives of late. Orders being marked ‘customer not found’ when delivery wasn’t attempted. Pls get your act together.,"@774210 Certainly not the kind of experience we would like to cater. Is any of your recent order related issue unaddressed ? Please let us know, we will work on it. ^CB",0.6409388184547424
7,1,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",1622258,1622258,@115850 my account has been lock please unlock,@497039 You must have received an email correspondence from our account specialist team. Please revert on the same. ^HK,0.7710433006286621
7,2,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",1683613,1683613,"Hey @115821 you locked me out of my account after I bought something and now won’t let me log back in, what gives?!?",@511742 Sorry to hear that! Have you received any recent emails from our accounts team providing clarification or instructions? ^CH,0.7657146453857422
7,3,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",179218,179218,@115830 not best pleased to find myself locked out of ALL my accounts after an apparently successful password change - why always me???,@158246 Have you received an email from the Account Specialist team?^CD,0.7609260678291321
7,4,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",2590707,2590707,@115821 why won't you let me log into my account,"@733791 Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM",0.7486870288848877
7,5,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",1638816,1638816,@115821 my account is locked i've changed my passwd and it keeps locking me out,@501120 I'm so sorry for the experience! Please reach out to us so that we can help! You can do so here: https://t.co/g4ZqwGKZp7 ^MH,0.7320284843444824
8,1,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",170935,170935,Te amo @116875 https://t.co/kmd2zEQ78E,"@155863 Hola, Fer. ¡Te amamos también! ❤️ ¿Recibiste este producto hoy? ^ES",0.8066431879997253
8,2,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",2518029,2518029,Te amo @116875 ❤️,"@717273 😍 Nosotros también te amamos. ❤️ Cuéntanos, ¿qué hemos hecho para merecer ese amor? 💞 ^JQ",0.7982648015022278
8,3,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",327025,327025,TE AMO @116875,"@193933 Hola, Pipepunk, Cuéntanos, ¿Que hicimos para merecer tanto amor? 😍❤️ Pd. Te mandamos un graaaan abrazo 😊. ^AZ https://t.co/daTMaktICP",0.797641932964325
8,4,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",2601481,2601481,Te amo @116875,@736330 ¡También te amamos Luis! 😍 😍 😍 ^DQ https://t.co/p9OamFYfFl,0.797641932964325
8,5,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",1071055,1071055,"Te amo, @116875","@363133 Ale, ¿qué hemos hecho para merecer tu amor? ❤ ^DA",0.7856572270393372
9,1,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,612681,612681,"@115830 Where’s my stuff? I’m a so called #prime member - I ordered yesterday - delivery according to you by 8pm today (or 9 pm, depending on which page) AND ITS NOT DISPATCHED YET!!! 😡😤","@265709 Hello, thanks for reaching out to us! Please keep us posted on the arrival of your parcel. Let us know if you it doesn't arrive by 21:00 as the agent had advised! ^SW",0.6405372619628906
9,2,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,2492238,2492238,@115830 @AmazonHelp Came home to find my expensive order just left in front of my front door. No text or email to say it was delivered either. Just left for anyone to take. Don't think I'll be renewing prime this month 😕 https://t.co/9ez8KROln6,"@711507 I'm sorry to see this, Neenee! When you have the time, please reach out to us here: https://t.co/JzP7hlA23B so we can take a further look into this together. ^HC",0.6247433423995972
9,3,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,423504,423504,@115830 Hi. Have you stopped next day delivery for Prime customers??? I can’t remember the last time I got it! Getting annoyed with you!,@215819 Have we missed a delivery date provided at checkout? ^TR,0.6238408088684082
9,4,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,2142912,2142912,"@115821 @AmazonHelp Mildly sad to open my Twin Peaks: The Final Dossier to find a rip. No big deal, but thought I'd share. https://t.co/M2tQOvzT2O",@630048 I am so sorry about that David! Our packaging team would like to hear your feedback: https://t.co/AlCnF5YWVg ^LS,0.6204867362976074
9,5,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,2378219,2378219,I just love seeing my @115821 prime order sitting at the post office since Friday,@685865 Uh-oh! I'm sorry you haven't received your order yet! We may need to contact the carrier on your behalf! Please phone or chat with us here and we'll look into this for you: https://t.co/hApLpMlfHN ^BN,0.6091085076332092
10,1,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",2631448,2631448,Seriously. FUCK @115821 delivery. They are literally incapable of getting my packages to me. I have not had one shipment successfully delivered. Leave it to the experts like @115817 @81 or @118706,"@423460 Oh no! I'm sorry you're having trouble with an order! We'd love to look into this, if you'll provide some additional info, including your order number, here: https://t.co/2UhApq2CoA ^LB",0.8091578483581543
10,2,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",127446,127446,@115821 my order delivery date is today but my order is not delivered...,@144618 Kindly wait until the end of the day to receive your order. Do keep us posted. ^PS,0.8022297024726868
10,3,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",2705695,2705695,"Hey @115821 I find it concerning that your shipping service has no clue what happened to my package that was ""delivered"" at a time I was home. -_-","@759892 Thank you for reaching out to us. I'm very sorry we've missed our mark for delivery! This certainly isn't what we strive for and we'd like to help the best we can. Just to confirm, who's the carrier listed for your order here: https://t.co/Y5jpI9gRhE ^NN",0.8016772866249084
10,4,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",1302331,1302331,@115821 hi my package here said that it was shipped/delivered today. Is this an error because I didn't receive it. https://t.co/FFqHTDmP2e,@424351 Oh no! Let's try the steps listed here: https://t.co/fGC0lkmGuh. Keep us posted! ^EZ,0.7980431914329529
10,5,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",2316614,2316614,@115850 I have received package delivered notification but yet no package is received by me. Tracking # 216265638418,"@671684 Apologies for the incorrect tracking update. Have you reported this to our support team here: https://t.co/rS49hgaADF? Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH",0.7976555228233337
11,1,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",786124,786118,@AmazonHelp vous n'avez pas un numero de téléphone ?,"@307537 Vous pouvez joindre notre SAV au: 08 05 10 14 20, c'est un numéro gratuit depuis un poste fixe. ^ASZ",0.7365224957466125
11,2,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",156793,156786,@AmazonHelp Oui. Aucune réponse. La seule que j'ai eu c'est de vous contacter à vous.,"@151995 Votre commande ayant été passée sur le site https://t.co/0HTUtotBNh, le Service Client de notre site partenaire sera plus en mesure de traiter votre demande. Vous pouvez le joindre via le lien suivant : https://t.co/IJsSS7F8th ^ASZ",0.7329795360565186
11,3,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",2616358,2616354,@AmazonHelp Merci à vous. J'ai eu un contact téléphonique. Un article de remplacement m'est adressé et je devrais le recevoir lundi... Wait and see... Bon week-end.,"@739514 Je vous en prie, passez un bon week-end. ^BR",0.7278487086296082
11,4,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",2226547,2226550,@AmazonHelp Pas encore... j’attends de voir si TNT me contact dans la journée. Merci 😊,@387676 Je vous invite à le signaler à notre SAV depuis le lien suivant : https://t.co/qzuu0dgDXz .^ASZ,0.7275375127792358
11,5,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",850153,850148,@AmazonHelp j'ai déjà eu le SAV au tél qui a opéré mon remboursement. Je veux juste que vous meniez l'enquête sur le livreur,"@321990 N'ayant pas accès sur votre compte via twitter, le SAV est le mieux placé pour répondre à votre demande.^FT",0.7256287336349487
12,1,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1829418,1829418,@115821 very upset and disappointed my prime order is not showing up today as scheduled.,@548982 Oh no! So sorry to hear your order's late. What's the most recent tracking update? Check here: https://t.co/Y5jpI9gRhE ^BL,0.8022730946540833
12,2,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1216297,1216297,@115850 I want my Prime money back as you have not fulfilled the promise of one day delivery.,"@405401 Apologies for any ordeal, Hitesh. Could you please let us know what went wrong? We'd like to check it. ^HD",0.7881597876548767
12,3,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",2161796,2161796,@115821 is really on some shit like i want my prime membership refunded. Orders placed 10/29/17 haven’t shipped! Why pay for prime!,@634816 Sorry about the delay! What is the delivery date on the order?^CD,0.7867734432220459
12,4,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",233140,233140,@115821 this is the second time my next day Prime order has taken more than the agreed next day delivery. #poor,@171495 Sorry to hear about this. What does the tracking advise?: https://t.co/aaDyEz1VgE Was any reason given for a delay? ^PK,0.7806072235107422
12,5,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",172265,172265,@115821 I hope #Amazon realizes they lost a prime member today over an issue with an order I did 2 days ago. I'm not at all happy with the end result of my chat with your #CustomerService today.,"@156254 I'm sorry you had a poor experience with our support, Kelly. We'd still like to help, if we can. Without posting account sensitive information like your e-mail, would you let us know more about what's going on? ^AM",0.7755074501037598
13,1,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,1525024,1525024,"@115830 you have really poor customer services, not happy at all!!!","@473704 I'm so sorry to hear that, James. Without providing any personal/account info, can you tell us more about your issue? ^BG",0.7860480546951294
13,2,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,667715,667715,Really pissed @115821 right now. Paid for 2 day shipping and item never arrived. Now wont be delivered until Friday and I dobt see them offering to refund shipping charge 😠,@279155 I'm sorry to hear your shipment hasn't arrived as expected. We're happy to review the order and any available options with you directly via phone or chat here: https://t.co/76UvvbLj62 ^JR,0.780817985534668
13,3,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,1310369,1310369,Yet again @115830 screwed up the delivery despite promising last time was the last screw up! Marked delivered but not here!,@259988 Sorry to hear this! Please get in touch here: https://t.co/JzP7hlA23B and we'll investigate this for you. ^RL,0.7713786363601685
13,4,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,2393462,2393462,@115830 disgusted with your customer services!!! Wrong item sent twice and cannot get a satisfactory resolution!,@689139 Sorry to hear about the issue with the incorrect item. What did we advise when you contacted us? ^MI,0.7703452110290527
13,5,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,404077,404077,@115830 a few bad delivery drivers really spoiling the Amazon brand 😢 ...please be more selective in your delivery services,@211644 Hey Sabyasachi! We'd like to look into this with you. Please contact us by phone/chat here: https://t.co/JzP7hlA23B ^AJ,0.764208197593689
14,1,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",80612,80599,@116875 Amazon la mejor opcion para comprar en linea y la mas segura,"@721916 ¡Hola Arturo! Muchas gracias por tus palabras, espero sigas haciendo muchas compras más con nosotros. Dime ¿Tienes pensado cuales serán tus próximas compras para Navidad? ^AD https://t.co/Thbap6IiMS",0.8313273191452026
14,2,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",697978,697978,"@116875 Hola Amazon! Llevo dos semanas tratando de tratando de realizar una compra y no e podido, además de que tardan en responderme","@286522 Hola Monse, ¿recibes algún tipo de mensaje de error al intentar realizar tu compra? ^LG",0.8136370182037354
14,3,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",2364661,2364661,PORRA AMAZON EU TE AMO @117086,"@682703 Olá, Camila! Nós agradecemos seus comentários. Conte para nós o que fizemos para merecer o seu carinho?. Ficamos curiosos. ^NB",0.8024566173553467
14,4,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",659426,659426,"@116875 Ayuda, Amazon. ¿Por qué me haces esto? https://t.co/iHn45UHrzB","@277022 Hola Amparo, lamento el inconveniente.En este caso es necesario que sigas las instrucciones brindadas en dicho e-mail para que nuestros especialistas en cuentas puedan entrar en contacto contigo y ayudarte a recuperar el acceso a tu cuenta. ^AZ",0.7973499298095703
14,5,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",150598,150598,@116875 A casi 2 meses de la compra no ha llegado mi producto.Contestan q el vendedor se retiró de Amazon. Quiero saber quien se hace responsable,@150349 Lamento este inconveniente Elba. ¿Has entrado en contacto con nuestro Servicio al Cliente para reportar lo sucedido? ^AZ,0.7962901592254639
15,1,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,354055,354055,"@115850 Bought a phone at amazon, bad experience as faulty handset delivered. Will never recommend Amazon",@200174 I'm sorry to hear about this experience. May I know if you've reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^MA,0.8059289455413818
15,2,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,394421,394421,"@115850 Hey amazon,i ordered phone on 4th oct.I paid for 1 day delivery but still i didnt got my phone.","@209458 We've responded to you here: https://t.co/SONYLjAww6, request you to check. ^MA",0.8001545667648315
15,3,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,230646,230659,@AmazonHelp @115850 @115850 Finally after 16 days we received the cell phone which we ordered. Thanks Amazon,@170937 Thank you for the heads up. Appreciate your patience and understanding as well. ^HD,0.7922198176383972
15,4,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,976844,976844,@115850 very bad delivery service. I ordered my phone by 8 October still not reached. (sic),@351681 Sorry to know you're yet to receive your order. Did we happen to miss the estimated delivery date? ^PS,0.7797006368637085
15,5,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,1568915,1568915,"@149087@ @132994 very disappointed by your seller @115850 CC executive does not know the minimum disency to talk to customer, brand new defective phone taking ages to replace and no hand to hand replacement despite confirmation about the defect by Amazon, #notaflagship",@484020 We're sorry for the unpleasant experience. Please share your details here: https://t.co/GIJyeYqKE0 and we'll help you. ^ZH,0.7784439325332642
16,1,Hey @115850 when will be @118062 's reputation magazines available in Stock?,445625,445625,@115850 Can y'all please ship my reputation magazine I'm anxious,@149460 All the orders are shipped and mapped for the delivery based on the estimates provided. Kindly let us know if we happened to miss on that? ^HS,0.7656539082527161
16,2,Hey @115850 when will be @118062 's reputation magazines available in Stock?,622519,622519,@115850 where the hell are the reputation magazines,@267755 I couldn't comprehend the concern. Kindly elaborate on your concern so that we can assist you accordingly. ^RI,0.7656234502792358
16,3,Hey @115850 when will be @118062 's reputation magazines available in Stock?,2033187,2033188,@115830 It was the first time I actually ordered from Amazon. Ugh I hope that doesn’t happen to the magazine. @115830,"@601201 Sorry to hear about the delay, let us know if it doesn't show up in time. ^MI",0.695669412612915
16,4,Hey @115850 when will be @118062 's reputation magazines available in Stock?,2460726,2460726,One plus 5 out of stock! When will it be available again on @115821 @132994 ?,"@704596 We've got the Oneplue 5 128GB current available, please check this link: https://t.co/zL76oUDijn . For the other variants, we don't have an update at the moment. Stay tuned to our website for updates. ^SY",0.6889348030090332
16,5,Hey @115850 when will be @118062 's reputation magazines available in Stock?,230180,230180,@115830 Can you please tell me if Harry Potter and Prisoner of Azkaban Illustrated is in stock or not? I preordered 12th August.,@170839 Did you receive any email with a new delivery date yet? ^KM,0.6838634014129639
