review_priority,golden_example_id,customer_message,conversation_context,suggested_intent,intent_confidence,second_best_intent,second_best_score,intent_margin,suggested_should_escalate,suggested_difficulty,human_intent,human_should_escalate,human_difficulty,human_notes
REVIEW,25,"Me da a mi que el repartidor va a dar muchas vueltas para encontrar el domicilio... 🤔 (la 4ª vez que me pasa lo mismo en menos de un mes, y siempre con #AmazonLogistics, muy mal -_-) @116928 https://t.co/ADKLviw72S","AmazonHelp: @788238 Hola, Fernando. Lamentamos los inconvenientes. Por favor mantennos informados en caso de que el pedido no sea entregado el día de hoy. 
Un saludo, 
^DB
Customer: @AmazonHelp acabo de contactar con un agente a través de la web de amazon y han  verificado el problema... la solución: esperar de 2 a 3 días a que me  llegue a la dirección correcta 👎
Suerte que mañana no es Navidad o Reyes",delivery_problem,0.31089467,returns_replacements,0.28329805,0.027596623,False,hard,delivery_problem,False,hard,
REVIEW,26,"I live in Tehran, Iran and want to shop at @115821. How can you help @AmazonHelp?","AmazonHelp: @230096 Hi Puya! You can find all countries we ship to here: https://t.co/VlUbaxuBlD If an item can't ship to your selected address, you'll be notified during the checkout process. Thank you! ^AB
Customer: @AmazonHelp Hi @AmazonHelp! Thanks for very quick reply and for the link. Pity Iran is not enlisted. What do you suggest I do?",delivery_problem,0.39934453,delivery_status,0.39667907,0.00266546,False,hard,delivery_problem,False,hard,
REVIEW,31,"ACORDEI E 2 MINUTOS DEPOIS CHEGARAM OS MEUS LIVROS! 
OBRIGADA @117086","AmazonHelp: @800363 Que notícia maravilhosa, Tatá. Que bom que recebeu seu pedido tão rápido❣️🎉^VL",returns_replacements,0.30290586,delivery_status,0.29767758,0.005228281,False,hard,returns_replacements,False,hard,
REVIEW,33,"AE MEU @117634 finalmente chegou, apaixonado demais.

@115821 @117086 https://t.co/xz6foHGT02","AmazonHelp: @278705 Opa chegou 🖤 já estrenou ele? já sabe qual e-Book vai ler ?😍 ^MB https://t.co/fLIA5VJBIA
Customer: @AmazonHelp Tô mexendo nele ainda, logo vou atrás dos ebooks",returns_replacements,0.29656914,delivery_status,0.27554995,0.02101919,False,hard,returns_replacements,False,hard,
REVIEW,35,"@117795 Hello we do not have dutch subtitles on downtown abbey season 6 episode 3, can you help please.","AmazonHelp: @800386 We want to make sure we inquire with the appropriate team. Could you tell us which Amazon Marketplace do you purchase/stream your videos from? (.de, .co.uk, etc.) ^MJ",prime_membership,0.32742298,digital_product_support,0.31345087,0.013972104,False,hard,prime_membership,False,hard,
REVIEW,36,@AmazonHelp I have a huge complaint to make... can I be provided with an email address to do so? Thanks,"AmazonHelp: @795068 I'm so sorry for any frustration you may have experienced. We'd love to help in any way we can. You can e-mail us directly here: https://t.co/JzP7hlRCV9 ^EB
Customer: @AmazonHelp Thank you
Customer: @AmazonHelp Incredible. Never experienced customer service as poor as this. Refusing to deal with the matter and Amazon putting an end to it. The email through the website doesn’t go to a senior department. Please may I have an email for a senior department regarding my complaint?",prime_membership,0.34846315,delivery_problem,0.34041962,0.008043528,True,hard,prime_membership,True,hard,
REVIEW,37,"Hey @115821 @AmazonHelp I ordered these https://t.co/ZvfV12VeeX  and I got 11 not 12, fix it","AmazonHelp: @205016 Hello! I'm sorry to hear you didn't get the correct number of pens! We'd like to help. Do you mind getting in touch with us via phone or chat options here:  https://t.co/hApLpMlfHN. ^DY
Customer: @AmazonHelp Will do",order_issue,0.29400197,returns_replacements,0.2586768,0.03532517,False,hard,order_issue,False,hard,
REVIEW,39,@AmazonHelp I haven't received my Prime one day order yet and it's way past the delivery timeline. What do I do now?,AmazonHelp: @520455 Oh no! I'm sorry your order is taking longer than expected! What does the most recent tracking status show here: https://t.co/Y5jpI9gRhE? ^BN,delivery_status,0.4935827,prime_membership,0.4693333,0.024249405,False,hard,delivery_status,False,hard,
REVIEW,40,@117634 hey folks how are we supposed to use the table of contents? Can't read this. What am I missing? Thanks! https://t.co/Ugq0Tjr1br,"AmazonHelp: @228167 I am sorry to see this. Can I ask, can you please reach out to us through the following link so we can look into this for you: https://t.co/hApLpMlfHN.^GA",digital_product_support,0.25678274,prime_membership,0.24894539,0.007837355,False,hard,digital_product_support,False,hard,
REVIEW,41,I thought Amazon Prime was 2-day delivery....why is everything taking 3-6 days lately?,"AmazonHelp: @253819 I'm sorry your order isn't arriving when you expected! To confirm, what was the delivery date shown at checkout and confirmed via e-mail? What's the current status shown here: https://t.co/Y5jpI9gRhE ^TL",delivery_problem,0.47134978,delivery_status,0.45367002,0.01767975,False,hard,delivery_problem,False,hard,
REVIEW,42,"devono arrivarmi le cuffiette da amazon.
quanto ci scomettiamo che il corriere arriva nell’unica mezz’ora in cui non c’è nessuno a casa?","AmazonHelp: @684225 Speriamo di no, dai! 🙈 Facci sapere! ^VE",delivery_status,0.29153103,returns_replacements,0.26614067,0.025390357,False,hard,delivery_status,False,hard,
REVIEW,43,@AmazonHelp why are no items coming up as available for delivery 2mrw on ur website. Is it cos of Black Friday if so that ain’t really my problem. I pay for next day delivery so expect it tbh.,AmazonHelp: @495719 This is indeed a busy time of year for us! What were the available shipping options for you? ^GP,delivery_problem,0.42009178,delivery_status,0.4015931,0.018498689,False,hard,delivery_problem,False,hard,
REVIEW,44,@115830 why are all the prime delivery options available to be recently are around 2-3 days? What’s happened to one day delivery I signed up for?,AmazonHelp: @798773 Prime one day delivery is one day from the items dispatching. During the checkout process the delivery date provide would be the most accurate time frame at present. You can find info on extended delivery time frames here: https://t.co/Upx18sgcZB ^MI,delivery_problem,0.4328084,prime_membership,0.42409086,0.008717537,False,hard,delivery_problem,False,hard,
REVIEW,47,@115821 @AmazonHelp On top of that they were just so negative and impatient.,"AmazonHelp: @240690 I am terribly sorry for the poor experience you had with us. We'd like to assist you today. Without revealing account or order concrete details, could you tell us more about what's going on today? ^JP
Customer: @AmazonHelp I still have no idea. The live chat agent sorted it though, he upgraded the shipping method. It was just very un clear on the phone, they transferred me about 5 times and I had no idea what for. Thanks anyway jp.",delivery_problem,0.4367538,delivery_status,0.4079703,0.0287835,False,hard,delivery_problem,False,hard,
REVIEW,54,"Yes, the package was supposed be delivered on Dec 1st. @amazonhelp @115821 https://t.co/oF073UjOqH",AmazonHelp: @246488 I'm sorry for the trouble! Were you given an update on delivery? You can check here: https://t.co/Y5jpI9gRhE Let us know. ^MO,delivery_problem,0.4803728,delivery_status,0.45820227,0.022170514,False,hard,delivery_problem,False,hard,
REVIEW,59,To whoever stole my Amazon package; I sincerely hope you enjoy my curly hair shampoo you stupid fuck. IDK WHO YOU GONNA GIFT THAT TO YOU XMAS THIEF,AmazonHelp: @801382 Oh no! So sorry to hear about this. Please reach out to us so we can review your available options here: https://t.co/hApLpMlfHN. We're here to help. ^AX,returns_replacements,0.36327314,refund_issue,0.3440546,0.019218534,False,hard,returns_replacements,False,hard,
REVIEW,60,@AmazonHelp Amazon is beginning to mess up orders in India.. I have had two very bad experiences. Delivered a terribly wrong product .. got a headset when I ordered a phone..and one before too..,AmazonHelp: @257375 Apologies. Could you please confirm if you've reported this to our support team here: https://t.co/rS49hgaADF? ^MN,digital_product_support,0.41054457,delivery_problem,0.39906067,0.011483908,False,hard,digital_product_support,False,hard,
REVIEW,62,"Comprar na segunda, receber na sexta.

@117086, SUA LINDA!","AmazonHelp: @155504 Boa noite Amanda!😊🥇 Sempre o melhor para nossos clientes! E nós conte, você aproveitou esse envio de pacotes tão rápido? ^CJ",delivery_status,0.32741123,returns_replacements,0.32487017,0.0025410652,False,hard,delivery_status,False,hard,
REVIEW,63,When you order your sister a hamster car for Christmas and @115830 send a blue one ... hope she’s having a boy hamster 😤😫😭 https://t.co/LdZjANTOpT,"AmazonHelp: @678224 Hi Sam, sorry to see that. You can check the options available here: http:https://t.co/5RcjVPJgUP if necessary. ^JJ",delivery_status,0.30224186,order_issue,0.29736137,0.004880488,False,hard,delivery_status,False,hard,
REVIEW,64,"Uhh...I was supposed to get the Logitech BRIO today, but instead I got some Maltesers? WTF @AmazonHelp @115830 https://t.co/Dlv6ywAPzn","AmazonHelp: @691809 I'm so sorry you didn't receive the correct item! Please get in contact with us here: https://t.co/JzP7hlA23B, so we can get this sorted for you! ^JY",returns_replacements,0.28035045,order_issue,0.277127,0.003223449,False,hard,returns_replacements,False,hard,
REVIEW,68,Cuando ya confirme mi cuenta y aun así sigue bloqueada porque #BlackFriday @116875 https://t.co/Qdmcbf2xHU,"AmazonHelp: @797724 Hola, Aylin. Lamentamos mucho este inconveniente, ¿podrías por favor confirmarnos si ya has recibido algún mensaje con información acerca de cómo desbloquear tu cuenta? ^CB
Customer: @AmazonHelp Ya, van 3 capturas de recibo que envío, además tardan mil años😠😭",returns_replacements,0.36888483,delivery_status,0.36486802,0.0040168166,False,hard,returns_replacements,False,hard,
REVIEW,69,Pues con un par de rebajas que ha hecho mi querido @116928 he hecho la compra del mes y casi de navidad!,"AmazonHelp: @157517 ¡Hola! Nos alegra leer este tipo de comentarios 🙊🎄 Cuéntanos, ¿qué has comprado? ^LC https://t.co/6vxTX8Gg7b",returns_replacements,0.2729012,delivery_status,0.26572675,0.007174462,False,hard,returns_replacements,False,hard,
REVIEW,70,@AmazonHelp please help me!! My product is ‘waiting for collection’. Nowhere can I find which company it is and it’s not at my local post office and nowhere on email or tracking. I am completely lost!!!!,AmazonHelp: @253113 I'm sorry! Please contact us directly so we can look into this with you: https://t.co/JzP7hlA23B ^SB,delivery_status,0.34726807,delivery_problem,0.3459175,0.0013505816,False,hard,delivery_status,False,hard,
REVIEW,76,Das war nix @124285. Der Fahrer ist gerade ohne Paket für mich da gewesen ☹️ @116316 https://t.co/Bn9PvtNT8j,"AmazonHelp: @230088 Hi, bitte gedulde dich noch etwas. DHL liefert noch bis 18 Uhr und wir gehen davon aus, dass du deine Bestellung in Kürze erhältst. Liebe Grüße ^TA
Customer: @AmazonHelp das wäre ungewöhnlich, dass DHL hier mehrmals am Tag kommt. Und machen kann ich ja eh nichts.",delivery_problem,0.3361991,returns_replacements,0.3282202,0.007978916,False,hard,delivery_problem,False,hard,
REVIEW,78,@119625 why you are not uploading Mr. Robot Season 3 on prime video ?,"AmazonHelp: @379652 We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. Also, I'll be sure to pass your comment as feedback to our team internally. ^MO",digital_product_support,0.43978345,prime_membership,0.42246804,0.017315418,False,hard,digital_product_support,False,hard,
REVIEW,79,@115821 @116935 #Alexia Can I shuffle music from a playlist I made on my echo? I know how to do it from the app.,AmazonHelp: @792668 Hi Mike! Answers to most Echo related questions can be found here: https://t.co/SAyUI75VmC If you need further assistance we would love to work with you in real time by phone or chat. You can select either option from here:  https://t.co/hApLpMlfHN.  I hope this helps! ^CH,digital_product_support,0.29310384,prime_membership,0.13772385,0.15538,False,hard,digital_product_support,False,hard,
REVIEW,81,"¿Por qué mandan tanta basura de correo, tío @116875 ? Es increíble la cantidad de spam que he recibido de ustedes los últimos días. Ya Párenle, es demasiado molesto. #Amazon #Spam @AmazonHelp https://t.co/vKtrQkENfp","AmazonHelp: @434862 Hola, lamentamos el inconveniente. Puedes modificar las preferencias de tu correo electrónico, siguiendo las instrucciones que se encuentran en el siguiente enlace: https://t.co/iDDHsujWkn ^AV
Customer: @AmazonHelp Ya cancelé las notificaciones, solo espero que sí me lleguen los correos de pedidos que haga.
AmazonHelp: @434862 Siempre seguirás recibiendo los correos relacionados con tus compras, cuenta o servicios que hayas adquirido ^AR",returns_replacements,0.335409,delivery_problem,0.332035,0.0033739805,False,hard,returns_replacements,False,hard,
REVIEW,82,Not only have @115830 seemingly cancelled half my orders they've messed about what money they want to take so much I'm over my limit... thanks!,"Customer: @AmazonHelp Yeah it said the card details were incorrect, bearing in mind order was all placed at the same time and half has come I'm unsure how that can be?
AmazonHelp: @227480 Did you have an alternative payment method set up? Such as another card or gift cards? ^BD
Customer: @AmazonHelp Nope all same one
AmazonHelp: @227480 Please contact us directly using the following link: https://t.co/oGDklGgbCZ so we can take a further look into this for you.^SM
Customer: @AmazonHelp Just went through to the account dunno what you want me to do here tbf
AmazonHelp: @227480 If you enter the information describing the problem you'll be given the option to request a call, send an e-mail, or start a chat. ^GR",order_issue,0.51440406,payment_billing,0.49731964,0.01708442,False,hard,order_issue,False,hard,
REVIEW,83,@111300 @116875 Sip tengo la suscripción de Amazon prime compre un vinyl y otro CD :3 ofertones por cierto,,refund_issue,0.32660133,returns_replacements,0.307957,0.018644333,False,hard,refund_issue,False,hard,
REVIEW,84,"届いた荷物の箱を放置してると ほぼほぼ100%こうなる…
amazonでネコ買った！みたいにぴったりフィット😓 https://t.co/sAT6EYjIVX","AmazonHelp: @774920 ジャストサイズですね～～～😂🎊
とってもおかわです(*´ω｀*)💓　MH
Customer: @AmazonHelp え、、、アマゾンのカスタマーサービスさん⁇😅
ノリがいいなぁ。ひょっとして関西人とか⁉️
AmazonHelp: @774920 すみません。。。突然。。Amazonです！
カワイイ画像だったので、思わずリプライしてしまいました( *´艸｀)
Amazon箱は、浅さとか大きさなど猫ちゃんに好かれる要素が何かあるみたいなんです。
(*´-`).。oO(入り心地はどうかな~？あ！ちなみに関西人ではなかったです～)TY
Customer: @AmazonHelp ☺️ いつもお世話になります🙇‍♀️ amazonの箱はかなり居心地良いみたいで 長時間スヤスヤ寝てます。サイドの開封口になってるところから腕だけ出して攻撃してくることも有り💦
AmazonHelp: @774920 こちらこそ、いつもご利用ありががとうございます！
わーー！やはり、お気に召していただけているのですね～(ㅅ´³`) 
他のお客様からも、猫ちゃんが箱で遊んだり、入ったり、壊したり等々、、、、色々な画像を見せていただいておりましたよ。
今後ともどうぞご贔屓に。。。(‘v`◎)TY",prime_membership,0.20895411,digital_product_support,0.18535286,0.023601249,False,hard,prime_membership,False,hard,
REVIEW,91,"クリスマスプレゼントにAmazonファイヤーTVスティック買ってもらた＼(^o^)／←早
YouTube見れるし(*´д`*)ﾊｧﾊｧ
GYAO!もインストールしたよねえ♡もちろんKinKi見るよねえ♡めっちゃれべるあがった＼(^o^)／うれしい(*´д`*)ﾊｧﾊｧ https://t.co/MVZ3dHKE1h","AmazonHelp: @822421 こんにちは、Amazonです。ご利用ありがとうございます！気に入っていただけたようでうれしいです（配信間に合ってよかったですね✨） SK
Customer: @AmazonHelp こんにちは！まさか！公式さんからコメント頂けるとは！
これ、めちゃくちゃ人気らしいですね！これからも御社のご活躍期待しております！
AmazonHelp: @822421 突然リプライをし驚かせてしまいまして失礼いたしました！そのように言っていただけてとっても励みになります。利用方法などでご不明な点等ございましたらご遠慮なくご質問ください！SK
Customer: @AmazonHelp ありがとうございます＼(^o^)／
AmazonHelp: @822421 こちらこそ！お忙しい中リプライをいただきありがとうございました＼(^o^)／
これからもよろしくお願いします🙇‍♂️💓　MH",prime_membership,0.25732452,returns_replacements,0.24244772,0.014876798,False,hard,prime_membership,False,hard,
REVIEW,92,23h13 : peut-être que le livreur c'est fait une petite bouffe avant de reprendre le boulot @120533 https://t.co/kFMPhYQzEE,"AmazonHelp: @156255 Bonsoir, je suis sincèrement désolée pour cela, pouvez-vous nous indiquer le nom du transporteur ayant pris en charge votre livraison je vous prie ? 
^KE
Customer: @AmazonHelp Bonsoir, pas de problème : TNT UK
P.s : je ne veux pas que vous viriez votre transporteur jles aime bien moi les routards
AmazonHelp: @156255 Avez-vous contacté notre SAV pour leur faire part de la situation?
^MD
Customer: @AmazonHelp Hmm, non. Que dois-je faire pour contacter le SAV ?
AmazonHelp: @156255 En effet, nous n'avons pas accès à votre compte sur Twitter. Vous pouvez contacter notre SAV via le lien suivant : https://t.co/qzuu0dgDXz
^MD",delivery_problem,0.36295494,delivery_status,0.35515925,0.0077956915,False,hard,delivery_problem,False,hard,
REVIEW,94,"@120533 bjr, je souhaiterais faire jouer la garantie du doudou chant ourson n° de commande 404-7236011-2098702. Comment faire? VTech explique que c'est à Amazon de faire jouer la garantie","AmazonHelp: @251439 Bonjour, désolée pour cela, je vous prie de le signaler à notre SAV via : https://t.co/hgIrz98cdI afin d'y remédier.
^KE",digital_product_support,0.2996275,delivery_status,0.29523388,0.004393637,False,hard,digital_product_support,False,hard,
REVIEW,96,"@115850 Account locked for doing US seller transaction using amazon pay. Multiple mail/call, still no response from your side. Please check it","Customer: @AmazonHelp All details sent again. Please check and revert.
AmazonHelp: @308340 I have checked it from my end. We haven't received any details yet. Please share them from the link here: https://t.co/VNUITkunAc again to assist further. ^HR
Customer: @AmazonHelp Shared details for the 3rd time. I hope you get this time. Attached snapshot for your reference https://t.co/Cw415s0Fcu
AmazonHelp: @308340 Thanks for the heads up. We will check and get back to you with an update. ^AH
Customer: @AmazonHelp Thanks for quick help. Able to access my account now :)
AmazonHelp: @308340 Glad to know that you're able to access your account now. Do keep us posted for any further concerns. ^KH",prime_membership,0.4137686,order_issue,0.39322641,0.020542175,True,hard,prime_membership,True,hard,
REVIEW,101,"@120534 Et @120533 arrêtez vite d’utiliser ces cancrignolles de Colis Privé comme livreurs, ça ne s’est jamais bien passé","AmazonHelp: @385271 Bonsoir, rencontrez-vous un souci avec une commande en cours ? ^ME
Customer: @AmazonHelp Bonsoir, oui effectivement, une commande de 4 articles, dont 2 livrés par Colis Privé. Seuls ces deux colis ne sont pas arrivés, et ont été renvoyés à l’expéditeur... Commande n° 171-9675591-6903551
AmazonHelp: @385271 Je suis désolé d'apprendre cela, le remboursement de votre commande sera effectué à réception du retour du colis ^ME
Customer: @AmazonHelp Bonsoir, je me permets de vous recontacter, sur le suivi du colis (https://t.co/25T8a60bgs), il est indiqué qu'il vous a été retourné le 23, et toujours aucune trace du remboursement ni du retour sur le suivi Amazon (Commande 171-9675591-6903551)
AmazonHelp: @385271 Bonsoir Yann, N'ayant pas accès à votre compte client depuis Twitter, vous pouvez demander a être rappelé par notre service client via le lien suivant s'il vous plaît: https://t.co/hgIrz98cdI Afin de nous permettre de vérifier cela pour vous.",digital_product_support,0.211115,prime_membership,0.19373843,0.017376572,False,hard,digital_product_support,False,hard,
REVIEW,103,@115850 Hello Guys I need to buy Moto g5s plus before one  hour I was able exchange my old phone but now that option is not available. Pls check and revert me asap.,"AmazonHelp: @785967 I understand you wish to place an order with exchange offer. The list of used products accepted under the exchange offer program is dependent on our buyback partners and hence, is dynamic. However, I'll share your comments as feedback internally. ^BS
Customer: @AmazonHelp Soo what should I do now I need to buy that phone with exhange offer
AmazonHelp: @785967 I understand your concern. Please reach out to our support team here: https://t.co/2t6DQoUmNZ we'll look into it and help you with it. ^AP",returns_replacements,0.3471508,refund_issue,0.3275857,0.019565105,False,hard,returns_replacements,False,hard,
REVIEW,106,"Aujourd'hui, j'ai eu une camionnette de livraison rien que pour moi. Et le pire ? J'ai la même chose demain. @120533 😍😘 https://t.co/iUnLTNKUsP","Customer: @AmazonHelp Ah beh voilà... du coup, je spam clic le bouton refresh maintenant ^^ https://t.co/cVnIeT9CQY
AmazonHelp: @790376 C'est fait, cliquez sur refresh une dernière fois 😁. ^BR
Customer: @AmazonHelp J'ai répondu... je suis dans un conte là ^^ Je rentre dans une phase suspens :D
AmazonHelp: @790376 Je ne dirais pas plus. SURPRISE ... https://t.co/rlqxTau2s7
Customer: @AmazonHelp Re coucou BR :) Votre appel m'a surpris et désolé de ne pas vous avoir reconnu ^^ En tout cas, cette situation est totalement folle... mes amis sont autant en suspens que moi sur la situation :P C'est incroyablement fou quand même, vous le savez ? :D
AmazonHelp: @790376 J'imagine 😂😂, ça m'a fait plaisir de vous parler. Stay tuned... ^BR",delivery_problem,0.2762331,returns_replacements,0.26711363,0.009119481,False,hard,delivery_problem,False,hard,
REVIEW,109,@AmazonHelp Mais c’est une blague la? Je vous fournis un RIB sa suffit pas ? https://t.co/fAddvA0vwN,"AmazonHelp: @135810 Ma collègue vient de prendre en charge votre demande via le formulaire que vous venez de remplir. Elle vous reconnectera dans la journée. ^SB
Customer: @AmazonHelp Enfin, c’est ps trop tôt ! Parcontre je fait comment je vais devoir encore attendre une semaine de votre faute alors quel devais arriver demain?? https://t.co/kii68HZSGr
Customer: @AmazonHelp Super le pc que j’avais commander n’est plus disponible, merci beaucoups.
AmazonHelp: @135810 Comme expliqué précédemment, ma collègue prendra contact avec vous après avoir étudié votre dossier.
Customer: @AmazonHelp J’espère que cet fois les délais seront respectée
Customer: @AmazonHelp Heuresement c’était écrit « contact dans les 12h ».",delivery_status,0.33701876,returns_replacements,0.3240877,0.012931049,False,hard,delivery_status,False,hard,
REVIEW,110,@115850 I see that you regularly post quizzes on your app but never reveal the winners anywhere. It would be good if you publish the winners list with their names and masked phone number so that we can believe it's indeed true. Hope u consider my suggestion,"AmazonHelp: @182676 All the contests conducted on Amazon are genuine. Winners are announced here: https://t.co/ICRkX2fNTQ. ^GD
Customer: @AmazonHelp I'm not doubting the genuineness of your contests. You are multi billion dollars company and that takes a good amount of trust to build such a business. I was only looking for a link where we can see the winners. thanks for sending the link. Appreciate it
AmazonHelp: @182676 Thank you for understanding, Surya. Keep us posted for any further assistance. ^SC",prime_membership,0.28819168,digital_product_support,0.21350466,0.07468702,False,hard,prime_membership,False,hard,
REVIEW,111,"So, @115821 ""forgot"" my order so when I went to the pickup location I was told that it would be here tomorrow. #cmonman","AmazonHelp: @237843 Sorry to hear about that Derek! Trust me, that is not the experience we want our customers to have.  Which carrier was the order assigned to? The carrier will show in the order details, which you can get to from here:   https://t.co/Y5jpI9gRhE ^CH
Customer: @AmazonHelp AMZL US
AmazonHelp: @237843 Thank you so much for the information! We would like to review this issue with you in real-time. Please contact us here: https://t.co/a7ZBFw5bck ^LS",delivery_status,0.5335878,delivery_problem,0.52436286,0.009224951,False,hard,delivery_status,False,hard,
REVIEW,112,"@120533 bjr, j ai commandé une paire de basket en 41 fr. reçu du 42 brésilien...impossible de faire l'échange en ligne. Impossible de vous contacter...
De pire en pire.... mécontentement qd tu nous tiens....","AmazonHelp: @790708 Je comprends parfaitement votre situation, et vous réitère mes excuses. ^BR
Customer: @AmazonHelp En attendant, à cause de cette erreur, j ai loupe des offres intéressantes sur des produits similaires durant le black friday. J'estime être en droit d obtenir un dédommagement
Customer: @AmazonHelp Et donc?
AmazonHelp: @790708 Comme expliqué précedemment, étant donné que votre article ne peut pas être échangé, je vous invite à nous le retourner. Vous recevrez un remboursement et pourrez passer une nouvelle commande pour l'article que vous désirez. ^FA
Customer: @AmazonHelp Et pour le préjudice suite aux affaires loupées pour le black friday? Je vais perdre de l'argent à cause de cette livraison
AmazonHelp: @790708 Nous vous prions de vérifier cela auprés de notre service client s'il vous plaît. ^SA",delivery_problem,0.35394865,refund_issue,0.33446267,0.01948598,False,hard,delivery_problem,False,hard,
