method,golden_example_id,rank,usefulness,actionability,reason
bm25,130,4,0,0,is unrelated to the issue and does not provide any useful guidance
bm25,130,5,1,1,addresses a closely related circumstance of lack of communication but does not provide a concrete action
bm25,131,1,0,0,not addressing the same issue or related circumstance
bm25,131,2,0,0,unrelated to the current issue of receiving pre-defined responses
bm25,131,3,0,0,unrelated to the current issue of receiving pre-defined responses
bm25,131,4,0,0,unrelated to the current issue of receiving pre-defined responses
bm25,131,5,0,0,unrelated to the current issue of receiving pre-defined responses
bm25,132,1,0,0,The issue is different (password login error vs. shipping and billing).
bm25,132,2,0,0,The issue is different (order status vs. shipping and billing).
bm25,132,3,2,1,Demonstrates a similar support workflow of verifying legitimacy of a website.
bm25,132,4,1,0,"Partially related as it involves providing personal information, but the context is different."
bm25,132,5,0,0,The issue is different (credit card details vs. shipping and billing).
bm25,133,1,0,0,No relevant information about order volume or delivery issues.
bm25,133,2,1,0,"Discusses multiple delayed deliveries, which is somewhat related to the current customer's concern about order volume and delivery."
bm25,133,3,0,0,Does not address the current issue of order volume or delivery delays.
bm25,133,4,1,0,"Discusses a similar situation with multiple orders and delivery delays, which is somewhat related to the current customer's concern."
bm25,133,5,0,0,Does not provide any relevant information about order volume or delivery issues.
bm25,134,1,2,2,"addresses the same underlying issue of waiting all day for delivery and no sign, and provides a resolution path."
bm25,134,2,1,1,addresses a closely related circumstance of missing the delivery date and provides a tracking update link.
bm25,134,3,2,2,"addresses the same underlying issue of waiting all day for delivery and no sign, and provides a resolution path."
bm25,134,4,1,1,addresses a closely related circumstance of missing the delivery time and provides contact options.
bm25,134,5,1,1,addresses a closely related circumstance of missing the delivery date and provides contact options.
bm25,135,1,0,0,Does not address the issue of a discount or refund request.
bm25,135,2,0,0,Does not address the issue of a discount or refund request.
bm25,135,3,0,0,Does not address the issue of a discount or refund request.
bm25,135,4,0,0,Does not address the issue of a discount or refund request.
bm25,135,5,1,0,"Addresses a similar circumstance of shipping to a different country, though not the exact issue of a discount or refund."
bm25,136,1,2,1,addresses a similar issue of unresponsive customer service and provides contact details for escalation.
bm25,136,2,0,0,not directly related to the issue of unresponsive customer service or providing contact details for escalation.
bm25,136,3,0,0,not directly related to the issue of unresponsive customer service or providing contact details for escalation.
bm25,136,4,0,0,not directly related to the issue of unresponsive customer service or providing contact details for escalation.
bm25,136,5,0,0,not directly related to the issue of unresponsive customer service or providing contact details for escalation.
bm25,137,1,0,0,"The historical customer is asking about a separate Amazon music app, which is not related to accessing already purchased music."
bm25,137,2,1,0,"The historical customer had a similar issue of missing music in their Amazon music playlist, though the specific problem was different."
bm25,137,3,0,0,"The historical customer was asking about streaming music on multiple devices, which is not relevant to the current issue."
bm25,137,4,0,0,"The historical customer left a positive comment about the app, which does not provide any actionable information for the current issue."
bm25,137,5,1,0,"The historical customer was trying to download music, which is somewhat related to the current issue of accessing already purchased music."
bm25,138,1,2,1,addresses a similar issue of delayed orders and provides a way to report the problem
bm25,138,2,1,0,partially related as it involves customer care but does not address the specific issue of delayed orders
bm25,138,3,0,0,not directly related to the issue of delayed orders
bm25,138,4,1,0,partially related as it mentions issues with customer services but does not address the specific issue of delayed orders
bm25,138,5,0,0,not directly related to the issue of delayed orders
bm25,139,1,2,2,addresses the same underlying issue of a delayed gift and the emotional impact
bm25,139,2,1,1,provides some useful context about contacting customer service but does not directly address the issue
bm25,139,3,0,0,not related to the issue of a delayed gift
bm25,139,4,1,2,addresses a similar circumstance of a delayed gift and provides a troubleshooting step
bm25,139,5,0,0,not related to the issue of a delayed gift
bm25,14,1,2,1,addresses the same sentiment of love and appreciation for Amazon
bm25,14,2,1,0,partially related as it also expresses love for Amazon but in a different context
bm25,14,3,0,0,not useful as it does not address the same issue or provide actionable guidance
bm25,14,4,2,1,addresses the same sentiment of love and appreciation for Amazon
bm25,14,5,2,1,addresses the same sentiment of love and appreciation for Amazon
bm25,140,1,2,1,addresses the same issue of poor delivery service and sets expectations
bm25,140,2,1,0,"partially related, mentions poor delivery service but does not provide actionable steps"
bm25,140,3,0,0,not directly related to the issue of poor delivery service
bm25,140,4,1,0,"partially related, mentions poor delivery service but does not provide actionable steps"
bm25,140,5,2,1,addresses the same issue of poor delivery service and sets expectations
bm25,141,1,2,1,addresses a similar circumstance of delayed delivery and provides a link to resources.
bm25,141,2,1,0,"partially related as it mentions a delayed delivery, but the context is different."
bm25,141,3,0,0,not useful as it discusses an out-for-delivery status rather than a delayed one.
bm25,141,4,0,0,not relevant as it pertains to a contest result and not a delivery issue.
bm25,141,5,2,1,addresses a similar issue of missing a delivery and provides a contact option for further assistance.
bm25,142,1,2,1,addresses a similar issue of an expired card and provides contact information for further assistance.
bm25,142,2,0,0,unrelated to the current issue of an expired card and an unauthorized transaction.
bm25,142,3,0,0,unrelated to the current issue of an expired card and an unauthorized transaction.
bm25,142,4,0,0,unrelated to the current issue of an expired card and an unauthorized transaction.
bm25,142,5,0,0,unrelated to the current issue of an expired card and an unauthorized transaction.
bm25,143,1,0,0,Does not address the issue of not finding an order.
bm25,143,2,1,1,Provides a similar workflow of reaching out for assistance.
bm25,143,3,1,1,Addresses a similar circumstance of not finding an order.
bm25,143,4,0,0,Does not address the issue of not finding an order.
bm25,143,5,1,1,Addresses a similar circumstance of not finding an order.
bm25,144,1,0,0,"The historical customer's issue is about account problems, while the current customer is about a product issue."
bm25,144,2,0,0,"The historical customer's issue is about providing required data, which is not related to the current customer's issue about a product."
bm25,144,3,0,0,"The historical customer's issue is about receiving a package by mistake, which is unrelated to the current customer's issue about a product."
bm25,144,4,0,0,"The historical customer's issue is about returning a product, which is not related to the current customer's issue about a product."
bm25,144,5,0,0,"The historical customer's issue is about purchasing products during a sale, which is not related to the current customer's issue about a product."
bm25,145,1,2,1,addresses a similar circumstance of a gift item being delayed
bm25,145,2,1,1,addresses a similar circumstance of a gift item and provides a contact link
bm25,145,3,0,0,discusses a different scenario about gift vouchers and order cancellation
bm25,145,4,0,0,discusses a different scenario about a replacement order being delayed
bm25,145,5,0,0,discusses a different scenario about urgent delivery and provides a contact link
bm25,146,1,2,2,addresses the same issue of unexpected charges for Amazon Prime and provides a link to cancel the membership.
bm25,146,2,1,1,partially related as it discusses unexpected charges for Amazon Prime but does not provide a direct link to cancel.
bm25,146,3,1,1,"partially related as it mentions signing up for Amazon Prime and being charged, but the context is slightly different (student prime)."
bm25,146,4,1,1,"partially related as it discusses unexpected charges for Amazon Prime and provides a link to cancel, but the context is different (free trial)."
bm25,146,5,0,0,not useful as it does not address the issue of unexpected charges for Amazon Prime and instead asks about gift cards.
bm25,147,1,2,1,涉及到类似的欺诈行为，虽然不是完全相同的问题，但提供了关于如何应对欺诈的指导。
bm25,147,2,1,0,与当前问题不直接相关，但提供了一些背景信息。
bm25,147,3,0,0,与当前问题无关，讨论的是产品名称问题。
bm25,147,4,2,1,明确提到了欺诈行为，并提供了相关的链接和建议，可以直接应用到当前问题中。
bm25,147,5,0,0,与当前问题无关，讨论的是色情内容和欺诈行为。
bm25,148,1,2,1,addresses the same underlying issue of a missing delivered package and provides a link to a resource for further assistance.
bm25,148,2,1,0,partially related as it mentions a missing package but does not provide a specific action or resource.
bm25,148,3,0,0,not directly related as it discusses a different aspect of delivery without addressing the missing package issue.
bm25,148,4,2,1,addresses the same issue of a missing delivered package and provides a link to a resource for further assistance.
bm25,148,5,0,0,not relevant as it is about seeking a contact number for help rather than addressing the missing package issue.
bm25,149,1,2,1,addresses the same underlying issue of poor service and loss of trust
bm25,149,2,1,0,partially related as it mentions losing trust but lacks concrete action
bm25,149,3,1,0,partially related as it mentions losing trust but lacks concrete action
bm25,149,4,0,0,not directly related to the issue of poor service and loss of trust
bm25,149,5,1,0,partially related as it mentions poor logistics but lacks concrete action
bm25,15,1,0,0,No mention of on-time delivery issues.
bm25,15,2,1,1,"Discusses the lack of exchange offer, which is a related issue."
bm25,15,3,0,0,"Complains about global store issues, not on-time delivery."
bm25,15,4,1,2,"Clarifies the conditions for exchange offers, relevant to understanding policies."
bm25,15,5,0,0,"Customer confusion about support staff, not relevant to on-time delivery."
bm25,150,1,0,0,"The customer's issue is about access codes not working and no new ones being given, which is different from the current customer's issue about locker access codes not working."
bm25,150,2,0,0,"The customer's issue is about delivery dates and deadlines, which is different from the current customer's issue about locker access codes."
bm25,150,3,1,1,"The customer's issue is about account access and verification codes not coming through, which is similar to the current customer's issue about locker access codes not working. The response suggests reaching out for help, which could be useful."
bm25,150,4,0,0,"The customer's issue is about reporting a problem without a deadline, which is different from the current customer's issue about locker access codes."
bm25,150,5,0,0,"The customer's issue is about delayed deliveries, which is different from the current customer's issue about locker access codes."
bm25,151,1,0,0,not related to packaging or timing of delivery
bm25,151,2,1,1,similar circumstance of unexpected packaging
bm25,151,3,1,1,similar circumstance of unexpected packaging and damage
bm25,151,4,0,0,unrelated to packaging or delivery issues
bm25,151,5,0,0,unrelated to packaging or delivery issues
bm25,152,1,2,1,addresses a similar issue of being locked out of an account and suggests contacting through another channel.
bm25,152,2,1,0,"partially related as it mentions human interaction, but does not address the specific issue of being locked out."
bm25,152,3,0,0,not directly related to the issue of being locked out or needing human assistance.
bm25,152,4,0,0,not related to the issue of being locked out or needing human assistance.
bm25,152,5,0,0,not related to the issue of being locked out or needing human assistance.
bm25,153,1,2,2,直接的にフィッシング詐欺についての警告と対策を示しています。
bm25,153,2,1,1,類似の状況でフィッシング詐欺についての注意を呼びかける内容ですが、具体的な行動指針は提供していません。
bm25,153,3,0,0,関連性がなく、異なる問題についての対応です。
bm25,153,4,2,2,架空請求詐欺についての警告と対策を示しており、現在の問題と直接関連しています。
bm25,153,5,0,0,完全に関連性がなく、異なる問題についての対応です。
bm25,154,1,2,1,Addresses the same underlying issue of receiving a free year of Prime with an Echo device.
bm25,154,2,2,1,Addresses a closely related circumstance where the free year of Prime extends an existing subscription.
bm25,154,3,2,1,Addresses a similar scenario where the free year of Prime extends an existing subscription.
bm25,154,4,1,1,"Provides context about the free year of Prime with an Echo device, though it doesn't directly address the issue of activation."
bm25,154,5,0,0,"Does not address the issue of receiving a free year of Prime with an Echo device; instead, it deals with a different issue of activation delay."
bm25,155,1,0,0,The customer's complaint is vague and does not address a specific issue.
bm25,155,2,1,0,"The customer mentions issues with customer support in India, which is somewhat related to the current complaint."
bm25,155,3,0,0,"The complaint is about delivery issues and not customer support, making it less relevant."
bm25,155,4,0,0,"The customer is reporting an issue to the support team, which is not directly related to the current complaint."
bm25,155,5,0,0,"The customer is directing the support team to their website, which does not provide useful information for the current complaint."
bm25,156,1,2,1,涉及到类似的欺诈行为，虽然不是完全相同的问题，但提供了关于如何应对欺诈的指导。
bm25,156,2,0,0,与当前问题无关，没有提供有用的信息或指导。
bm25,156,3,0,0,与当前问题无关，没有提供有用的信息或指导。
bm25,156,4,2,1,涉及到类似的欺诈行为，虽然不是完全相同的问题，但提供了关于如何应对欺诈的指导。
bm25,156,5,0,0,与当前问题无关，没有提供有用的信息或指导。
bm25,157,1,2,2,同様の詐欺メッセージについての対応方法を示しています
bm25,157,2,1,1,関連する情報ですが、具体的な行動指南はありません
bm25,157,3,0,0,異なる状況で、製品に関する誤解についての対応
bm25,157,4,2,2,同様の詐欺メッセージについての対応方法を示しています
bm25,157,5,0,0,異なる状況で、個人情報漏洩に関する懸念についての対応
bm25,158,1,2,1,addresses a similar circumstance of thinking twice about purchasing from Amazon
bm25,158,2,1,0,partially related to the issue but does not provide actionable steps
bm25,158,3,0,0,not directly related to the issue of delivery service
bm25,158,4,1,0,partially related to the issue but does not provide actionable steps
bm25,158,5,0,0,not directly related to the issue of delivery service
bm25,159,1,2,1,addresses a similar circumstance of delayed delivery and provides a way to communicate further.
bm25,159,2,1,0,"partially related as it mentions waiting for a package, but the context is different."
bm25,159,3,0,0,"not useful as it discusses checking neighbors' doors, which is unrelated."
bm25,159,4,1,0,"partially related as it expresses frustration over a long wait, but the product is different."
bm25,159,5,0,0,"not useful as it discusses reporting a lost package, which is unrelated."
bm25,16,1,2,1,addresses a similar circumstance of product unavailability and provides a similar response structure.
bm25,16,2,1,0,"partially related as it mentions checking back, but doesn't provide a concrete action or workflow."
bm25,16,3,2,2,addresses a similar circumstance of product unavailability and provides a clear response about the lack of a set date and asking for more details.
bm25,16,4,1,0,"partially related as it mentions the product being unavailable, but doesn't provide a concrete action or workflow."
bm25,16,5,0,0,not useful as it discusses a different product and a different issue.
bm25,160,1,2,1,This shows a similar situation where the customer needs to contact support for a refund of courier charges.
bm25,160,2,1,0,This is somewhat related but does not provide specific guidance on the refund process.
bm25,160,3,0,0,This does not address the same issue and is too specific to another customer's query.
bm25,160,4,0,0,This is unrelated to the refund of courier charges and focuses on logistics issues.
bm25,160,5,0,0,This is unrelated to the refund of courier charges and focuses on a different issue.
bm25,161,1,2,1,addresses a similar issue of discrepancy between website information and actual delivery status
bm25,161,2,1,0,"partially related as it involves access to account information, but not directly addressing the mistake on the website"
bm25,161,3,0,0,not useful as it does not address the specific issue of the mistake on the website
bm25,161,4,1,0,"partially related as it involves communication delays, but not directly addressing the mistake on the website"
bm25,161,5,0,0,not useful as it does not address the specific issue of the mistake on the website
bm25,162,1,0,0,"The historical issue is about purchasing coins, not errors."
bm25,162,2,0,0,"The historical issue is about identifying a tablet model, not errors."
bm25,162,3,2,2,"The historical issue involves resolving an Echo error, which is similar to the current issue of getting an error. The response suggests checking troubleshooting steps, which could be applicable."
bm25,162,4,1,1,"The historical issue is about an error with Prime video, which is related to the current issue of getting an error. The response suggests checking if the user is using desktop or app, which could provide context."
bm25,162,5,1,1,"The historical issue involves an error with a Firestick, which is similar to the current issue of getting an error. The response suggests using a reference guide, which could be helpful."
bm25,163,1,2,1,涉及了关于欺诈邮件的问题，虽然不是完全相同的情况，但提供了防范措施。
bm25,163,2,0,0,与当前问题无关，讨论的是产品目标受众。
bm25,163,3,0,0,讨论的是电话服务，与当前问题无关。
bm25,163,4,2,1,涉及了关于欺诈邮件的问题，虽然不是完全相同的情况，但提供了防范措施。
bm25,163,5,0,0,讨论的是色情内容相关的问题，与当前问题无关。
bm25,164,1,2,1,addresses the same issue of delayed refund and provides a similar resolution path.
