golden_example_id,customer_message,gold_intent,predicted_intent,intent_correct,intent_source,intent_confidence_band,intent_margin,retrieval_top_score,grounded,evidence_quality,actionability,best_evidence_rank,draft_response,needs_more_information,should_escalate,escalation_reason,human_should_escalate
47,@115821 @AmazonHelp On top of that they were just so negative and impatient.,delivery_problem,order_issue,False,minilm,medium,0.09391701221466064,0.8924076557159424,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
54,"Yes, the package was supposed be delivered on Dec 1st. @amazonhelp @115821 https://t.co/oF073UjOqH",delivery_problem,delivery_problem,True,minilm,high,0.12639904022216797,0.7762726545333862,True,strong,high,1,I'm sorry to hear that your package was not delivered as expected. Could you please provide us with the order number so we can check the status? We'll be happy to assist you.,True,True,additional customer information is required,False
59,To whoever stole my Amazon package; I sincerely hope you enjoy my curly hair shampoo you stupid fuck. IDK WHO YOU GONNA GIFT THAT TO YOU XMAS THIEF,returns_replacements,delivery_problem,False,minilm,low,0.009016454219818115,0.663626492023468,True,strong,high,1,Oh no! It sounds like your package was stolen. Please reach out to us here so we can assist you further: https://t.co/hApLpMlfHN ^AN,False,True,intent classification is ambiguous,False
60,@AmazonHelp Amazon is beginning to mess up orders in India.. I have had two very bad experiences. Delivered a terribly wrong product .. got a headset when I ordered a phone..and one before too..,digital_product_support,delivery_problem,False,minilm,low,0.013177156448364258,0.8040419816970825,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
62,"Comprar na segunda, receber na sexta.

@117086, SUA LINDA!",delivery_status,delivery_status,True,minilm,low,0.03662145137786865,0.6981779336929321,True,weak,low,0,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
63,When you order your sister a hamster car for Christmas and @115830 send a blue one ... hope she’s having a boy hamster 😤😫😭 https://t.co/LdZjANTOpT,delivery_status,refund_issue,False,minilm,low,0.004865586757659912,0.6028931140899658,True,moderate,high,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
64,"Uhh...I was supposed to get the Logitech BRIO today, but instead I got some Maltesers? WTF @AmazonHelp @115830 https://t.co/Dlv6ywAPzn",returns_replacements,order_issue,False,minilm,low,0.003425300121307373,0.4826549589633941,True,moderate,medium,4,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
68,Cuando ya confirme mi cuenta y aun así sigue bloqueada porque #BlackFriday @116875 https://t.co/Qdmcbf2xHU,returns_replacements,returns_replacements,True,minilm,low,0.0035260915756225586,0.7846887111663818,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
69,Pues con un par de rebajas que ha hecho mi querido @116928 he hecho la compra del mes y casi de navidad!,returns_replacements,returns_replacements,True,minilm,low,0.04996597766876221,0.7887977361679077,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
70,@AmazonHelp please help me!! My product is ‘waiting for collection’. Nowhere can I find which company it is and it’s not at my local post office and nowhere on email or tracking. I am completely lost!!!!,delivery_status,delivery_status,True,rule,high,1.0,0.7078742980957031,True,strong,high,1,We're here to help! Could you please provide the tracking details so we can check the status of your order? You can find them on the order confirmation email or by logging into your Amazon account.,True,True,additional customer information is required,False
76,Das war nix @124285. Der Fahrer ist gerade ohne Paket für mich da gewesen ☹️ @116316 https://t.co/Bn9PvtNT8j,delivery_problem,returns_replacements,False,minilm,low,0.024288207292556763,0.7196938395500183,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
78,@119625 why you are not uploading Mr. Robot Season 3 on prime video ?,digital_product_support,digital_product_support,True,minilm,low,0.04338732361793518,0.8504083156585693,True,strong,high,1,We’re constantly adding new content to our library. Stay tuned for updates on Mr. Robot Season 3. You can also check the Prime Video site and social media for the latest information.,False,True,intent classification is ambiguous,False
79,@115821 @116935 #Alexia Can I shuffle music from a playlist I made on my echo? I know how to do it from the app.,digital_product_support,digital_product_support,True,rule,high,1.0,0.702445387840271,True,weak,low,5,,True,True,historical evidence is not strong enough; additional customer information is required,False
81,"¿Por qué mandan tanta basura de correo, tío @116875 ? Es increíble la cantidad de spam que he recibido de ustedes los últimos días. Ya Párenle, es demasiado molesto. #Amazon #Spam @AmazonHelp https://t.co/vKtrQkENfp",returns_replacements,returns_replacements,True,minilm,low,0.0330810546875,0.6884444952011108,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
82,Not only have @115830 seemingly cancelled half my orders they've messed about what money they want to take so much I'm over my limit... thanks!,order_issue,order_issue,True,minilm,medium,0.08236634731292725,0.8057700395584106,True,moderate,medium,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
83,@111300 @116875 Sip tengo la suscripción de Amazon prime compre un vinyl y otro CD :3 ofertones por cierto,refund_issue,prime_membership,False,rule,high,1.0,0.6163774728775024,True,weak,low,5,,True,True,historical evidence is not strong enough; additional customer information is required,False
84,"届いた荷物の箱を放置してると ほぼほぼ100%こうなる…
amazonでネコ買った！みたいにぴったりフィット😓 https://t.co/sAT6EYjIVX",prime_membership,prime_membership,True,minilm,low,0.0015361309051513672,0.7332690358161926,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
91,"クリスマスプレゼントにAmazonファイヤーTVスティック買ってもらた＼(^o^)／←早
YouTube見れるし(*´д`*)ﾊｧﾊｧ
GYAO!もインストールしたよねえ♡もちろんKinKi見るよねえ♡めっちゃれべるあがった＼(^o^)／うれしい(*´д`*)ﾊｧﾊｧ https://t.co/MVZ3dHKE1h",prime_membership,returns_replacements,False,minilm,medium,0.0628664493560791,0.6958270072937012,True,moderate,high,2,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
92,23h13 : peut-être que le livreur c'est fait une petite bouffe avant de reprendre le boulot @120533 https://t.co/kFMPhYQzEE,delivery_problem,delivery_status,False,minilm,medium,0.061320215463638306,0.7211093902587891,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
94,"@120533 bjr, je souhaiterais faire jouer la garantie du doudou chant ourson n° de commande 404-7236011-2098702. Comment faire? VTech explique que c'est à Amazon de faire jouer la garantie",digital_product_support,digital_product_support,True,minilm,low,0.016299009323120117,0.6148174405097961,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
96,"@115850 Account locked for doing US seller transaction using amazon pay. Multiple mail/call, still no response from your side. Please check it",prime_membership,account_security,False,rule,high,1.0,0.7967891097068787,True,strong,high,1,"Hi, we're sorry to hear that your account is locked. Please call us on the number found here: https://t.co/jzvkhdlrK5 to escalate this. ^JJ",True,True,high-risk account/payment issue; additional customer information is required,True
101,"@120534 Et @120533 arrêtez vite d’utiliser ces cancrignolles de Colis Privé comme livreurs, ça ne s’est jamais bien passé",digital_product_support,delivery_status,False,minilm,low,0.00593683123588562,0.805822491645813,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
103,@115850 Hello Guys I need to buy Moto g5s plus before one  hour I was able exchange my old phone but now that option is not available. Pls check and revert me asap.,returns_replacements,digital_product_support,False,minilm,low,0.00719645619392395,0.7606938481330872,True,moderate,high,1,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
106,"Aujourd'hui, j'ai eu une camionnette de livraison rien que pour moi. Et le pire ? J'ai la même chose demain. @120533 😍😘 https://t.co/iUnLTNKUsP",delivery_problem,delivery_status,False,minilm,low,0.015430241823196411,0.6844925284385681,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
109,@AmazonHelp Mais c’est une blague la? Je vous fournis un RIB sa suffit pas ? https://t.co/fAddvA0vwN,delivery_status,delivery_status,True,minilm,high,0.11386704444885254,0.7144307494163513,True,strong,high,1,Pourriez-vous nous communiquer les numéros de suivi de vos colis afin que nous puissions vérifier cela ?,True,True,additional customer information is required,False
110,@115850 I see that you regularly post quizzes on your app but never reveal the winners anywhere. It would be good if you publish the winners list with their names and masked phone number so that we can believe it's indeed true. Hope u consider my suggestion,prime_membership,prime_membership,True,minilm,high,0.1379920244216919,0.8014911413192749,True,strong,high,1,The winners of the contests are declared from time to time on our website. You may find it here: https://t.co/ICRkX2fNTQ. ^AU,False,False,"clear intent, strong historical evidence, and grounded response",False
111,"So, @115821 ""forgot"" my order so when I went to the pickup location I was told that it would be here tomorrow. #cmonman",delivery_status,delivery_problem,False,minilm,low,0.022490978240966797,0.7465738654136658,True,moderate,high,1,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
112,"@120533 bjr, j ai commandé une paire de basket en 41 fr. reçu du 42 brésilien...impossible de faire l'échange en ligne. Impossible de vous contacter...
De pire en pire.... mécontentement qd tu nous tiens....",delivery_problem,returns_replacements,False,minilm,low,0.011917293071746826,0.5738351941108704,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
113,@116928 ¿Simplemente un producto duplicado en Amazon? El primero se vendió en Cyber Monday por 139.99€ y no sé está enviando por falta de stock... Pero... ahí lo tienen a continuación con stock y envío en 1 día. ¿Tomadura de pelo? https://t.co/cc0FWw93Zk,digital_product_support,digital_product_support,True,minilm,medium,0.0698014497756958,0.7543038725852966,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
116,Euh... @120533 vous êtes bien gentil mais je ne pense pas que en 2100 vous serez encore présent pour sortir la Saison 1 de cette récente série 😂 https://t.co/rUN6xB9JLX,digital_product_support,returns_replacements,False,minilm,low,0.003869473934173584,0.698269248008728,False,weak,low,5,,True,True,historical evidence is insufficiently grounded; historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
117,"https://t.co/RcRrQvfeIa
@115850 when will these magazines be available again?",prime_membership,preorder_issue,False,minilm,high,0.34980785846710205,0.7424607276916504,True,weak,low,4,,True,True,historical evidence is not strong enough; additional customer information is required,False
118,"@AmazonHelp I ordered 8 DVDs, your Kentucky fulfillment center threw them into a 13x18"" envelope instead of a box to let them get bounced around and crushed on the way. I got an envelope full of plastic chunks and loose discs. Online and telephone customer service was useless. 😡",order_issue,order_issue,True,minilm,medium,0.0822361409664154,0.7247933745384216,True,moderate,medium,4,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
119,@115821 SUPER UPSET WITH THE SERVICE AS A PRIME MEMBER. LOSING FAITH IN THIS COMPANY. WAS OFFERED A LOW BALL GIFT CARD FOR APPEASEMENT WHEN I HAVEN'T STILL RECEIVED MY TV AFTER ORDERING FOR THE 2ND TIME,delivery_problem,refund_issue,False,minilm,medium,0.06777536869049072,0.7507643699645996,True,moderate,medium,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
121,@115830 your listing showed the item on the left and promised “no wires” what I got was on the right and they want to deduct postage from the refund. Very unimpressed. https://t.co/BS67hqN3yr,refund_issue,refund_issue,True,rule,high,1.0,0.6463263034820557,True,strong,high,3,I'm sorry to hear about the discrepancy between the item you ordered and what you received. Could you please provide us with your order number so we can investigate further? You can also contact our support team at https://www.amazon.com/gp/contact/amazonsupport for assistance.,True,True,additional customer information is required,False
124,"@117086 Quando a Amazon passará a vender produtos de tecnologia, cozinha, etc. Sem ser por terceiros?",delivery_status,delivery_status,True,minilm,medium,0.06995302438735962,0.6876713633537292,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
125,Y otro día más q @116928 m toma el pelo y no me entrega un paquete prioritario. Xo eh q me aseguran q mañana si. Menuda burla de servicio,prime_membership,returns_replacements,False,minilm,medium,0.057705044746398926,0.7793258428573608,True,moderate,medium,3,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
127,Bon je le sens mal cette livraison @120533 :( Appel du livreur limite insistant et autoritaire pour que je descende récupérer mon colis alors que je ne suis pas chez moi. Me propose de le laisser à un voisin : Non (je ne connais pas encore assez mes voisins pour cela),delivery_problem,delivery_status,False,minilm,low,0.031678348779678345,0.7137593030929565,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
130,Hice una compra muy precipitada en @116875 😅,delivery_status,delivery_status,True,minilm,low,0.016033053398132324,0.6930493116378784,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
131,@AmazonHelp J’envoie des mails au service client qui me répond à chaque fois un message pré-défini qui n’a rien à voir avec ce que je leur ai dit. Ça fait 2 jours que ça dure je vais commencer à m’énerver je pense.,delivery_status,delivery_status,True,minilm,medium,0.058052659034729004,0.7814211249351501,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
133,"@AmazonHelp Ha. Un mois avant la fin de 2017, je viens d'arriver à 100 commandes cette année.

ça fait quand même beaucoup... Mon banquier va finir par me convoquer un jour tss... https://t.co/u6aPGtNm99",delivery_problem,delivery_status,False,minilm,low,0.014419853687286377,0.6827177405357361,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
135,@242291 @AmazonHelp @115830 I have requested on 21 and so far no discount has been made and I have not been charged. I do not want to cancel the order. I want to ship to Saudi Arabia,order_issue,order_issue,True,minilm,medium,0.06521517038345337,0.716905415058136,True,weak,low,3,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
138,Anyone care to have a wild stab in the dark as to who’s 2 days late with a pre order.....go on ....I dare you....😡😡,delivery_status,delivery_problem,False,rule,high,1.0,0.6360101699829102,True,strong,high,1,I'm sorry for the delay with your pre-order. Could you please provide the latest tracking information so we can assist further? You can find your tracking details here: https://t.co/RYDC8N2UNg.,True,True,additional customer information is required,False
144,"Ho flirtatto 1 ora con un operatore #amazon Manuel Pincopallino per un cavo boh maschio femmina ♀, non c ho capito una mazza...

ci siamo cmq capiti!

richiamo?",returns_replacements,returns_replacements,True,minilm,medium,0.07580327987670898,0.6356773972511292,False,weak,low,5,,True,True,historical evidence is insufficiently grounded; historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
145,"@115821 this is ridiculous...i specified that this order was a gift too....and a ""replacement"" would cost me more since one of the items was a part of a lightning deal... https://t.co/1DMCnoPuON",refund_issue,refund_issue,True,minilm,medium,0.06953823566436768,0.7352932691574097,True,moderate,medium,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
149,@115850 service sucks. Never trust amazon.,order_issue,order_issue,True,minilm,low,0.04209369421005249,0.8987279534339905,True,strong,high,1,We've responded to similar concerns here: https://t.co/XoYCH1ahht. Please check and let us know if you need further assistance.,False,True,intent classification is ambiguous,False
153,"これさー、マジでまぎらわしいんやけど迷惑メールなんよな
ぱっと見やと文章とかアドレスとかリンク先とかめっちゃAmazonっぽいんやけど、差出人のアドレスのとこタップするとこんな感じで、その他のところにクソ関係なさそうなアドレスが一緒に出てくるねん
みんなマジで気をつけてな https://t.co/qQCe847u5z",prime_membership,returns_replacements,False,minilm,low,0.048657625913619995,0.766901969909668,True,strong,high,1,当サイトからそのようなメールをお送りすることはございません。当サイトの名をかたるフィッシング行為が増えているようです。リンクにアクセスしたり個人情報を登録したりしないよう、ご注意ください。,False,True,intent classification is ambiguous,False
156,Amazonだいしゅきぴ💕💕 https://t.co/N1Xuiphr6m,returns_replacements,returns_replacements,True,minilm,high,0.11031076312065125,0.6910697817802429,True,weak,low,5,,True,True,historical evidence is not strong enough; additional customer information is required,False
157,明らかに怪しいメッセージ届いたからAmazonに問い合わせたらやっぱりこれ詐欺っぽい。この番号にかけるとやばいってネットでも見たから皆こんなの来ても無視してね～🙌 https://t.co/3hXy9NYwco,returns_replacements,returns_replacements,True,minilm,medium,0.06226623058319092,0.7883273363113403,True,strong,high,1,ご心配ありがとうございます。当サイトからのご請求ではございませんので、ご連絡されませんようにお願いいたします。迷惑メール対策として、携帯大手3社のご利用の場合には、迷惑メール対策窓口へご連絡ください。,False,True,intent classification has moderate uncertainty,False
163,"入ってよかった、Amazonプライム。
ダンバインにエルガイムが全話観れるなんて。 https://t.co/6gSoaeETMN",returns_replacements,prime_membership,False,minilm,low,0.004648983478546143,0.879953920841217,True,strong,high,1,Amazonプライムで楽しんでいただけてうれしいです！これからも様々なコンテンツをお楽しみください。,False,True,intent classification is ambiguous,False
164,"@AmazonHelp item o ne returned, still item not picked up , kindly  do as early and refund the same in my bank account https://t.co/IRQtkGDo6Z",order_issue,refund_issue,False,rule,high,1.0,0.836829423904419,True,moderate,medium,2,,True,True,historical evidence is not strong enough; additional customer information is required,False
165,"AmazonのfireTV stick、これいいよー、これで、随分、映画や海外ドラマを、観まくってる。
最高だよ、もう、無い生活できませ~ん。 https://t.co/nTnUrO8e1U",digital_product_support,returns_replacements,False,minilm,low,0.039797574281692505,0.7229472398757935,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
166,@115821 @115850 @1840 @115851 @2517 @120320 @118341 @132458 @7291 @25348 This is the amazon services they will make a daily new excause and daily they raise a new complain...how can i trust on them tell me anyone........please close amazon in India https://t.co/U3hxViLIFS,delivery_problem,order_issue,False,minilm,low,0.0016123652458190918,0.8221333622932434,True,moderate,medium,1,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
168,"@AmazonHelp received an email saying my mattress would be delivered Thursday. A delivery company called Arrow XL called to say the earliest is next week. Absolutely raging, you knew there was a problem but never bothered to contacted me https://t.co/6hLBQzUxtg",order_issue,delivery_problem,False,rule,high,1.0,0.810002326965332,True,moderate,medium,2,,True,True,historical evidence is not strong enough; additional customer information is required,False
169,Amazonさん仕事早すぎる…。次からも利用しますね(o^^o) https://t.co/sHYblH5sEE,returns_replacements,returns_replacements,True,minilm,high,0.11918866634368896,0.7653511166572571,True,strong,high,1,Amazonさん仕事早すぎる…。次からも利用しますね(o^^o) ありがとうございます😊✨,False,False,"clear intent, strong historical evidence, and grounded response",False
171,既にAmazonでアカウント登録しちゃったアマギフって、Prime nowで同じアカウント使ってても流用出来なくない？出来る？？,prime_membership,returns_replacements,False,minilm,low,0.0028841793537139893,0.6991387605667114,False,weak,low,5,,True,True,historical evidence is insufficiently grounded; historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
175,"Tell me how the @115821 psychic said it was not broken. That's as crooked as the situation. IT IS BROKEN! It came in a big @9450 box I hate to post w photos, but it is what it is. I loved Amazon wkly$$$. Don't tell me I have to pay to return this mkt seller schlock. https://t.co/Ss6ikr3A69",delivery_problem,delivery_problem,True,minilm,low,0.038351088762283325,0.7193945050239563,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
177,amazonから色々届いた https://t.co/iNvbKRslUK,delivery_status,returns_replacements,False,minilm,medium,0.05799305438995361,0.9432663917541504,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
178,TE AMO POR SIEMPRE @116875 https://t.co/aEcopzKt6Z,returns_replacements,returns_replacements,True,minilm,high,0.1166124939918518,0.836876630783081,True,strong,high,1,"¡Te amamos también! ¿Recibiste este producto hoy? Si tienes alguna pregunta adicional, no dudes en contactarnos.",True,True,additional customer information is required,False
