golden_example_id,customer_message,draft_response,grounded,evidence_quality,actionability,should_escalate,needs_more_information,historical_evidence,historical_brand_responses,human_factuality,human_grounding,human_helpfulness,human_overall_quality,human_should_auto_answer,human_notes
70,@AmazonHelp please help me!! My product is ‘waiting for collection’. Nowhere can I find which company it is and it’s not at my local post office and nowhere on email or tracking. I am completely lost!!!!,We're here to help! Could you please provide the tracking details so we can check the status of your order? You can find them on the order confirmation email or by logging into your Amazon account.,True,strong,high,True,True,"@AmazonHelp Please I need help, I do not know where I have my product. || @AmazonHelp I have already request a return but they are not coming to collect || @AmazonHelp I had an item sent to a collection point . They gave it to someone else . I will message you || @AmazonHelp Today they said to collect now they are saying today we don't collect .I can't even connect to the customer service also . || @AmazonHelp @326603 Many times we need go collect the product.","@374344 We're here to help! What does the tracking details show here: https://t.co/Y5jpI9gRhE? ^KL || @442246 Sorry about the delay with the pick up. We'd like a closer look, please share the details here: https://t.co/GIJyeYqKE0 ^MS || @433124 We don't have acct access via Twitter, but we'd love to help! Let us know what's going on so we look in to this with you! ^KN || @507067 Apologies for the trouble with the return. Kindly connect with our support team here: https://t.co/rS49hgaADF ^AK || @326604 I see you had issues with delivery of your orders, please contact us here: https://t.co/rS49hgaADF so that we can assist you.^PJ",2.0,2.0,2.0,2.0,0.0,
78,@119625 why you are not uploading Mr. Robot Season 3 on prime video ?,We’re constantly adding new content to our library. Stay tuned for updates on Mr. Robot Season 3. You can also check the Prime Video site and social media for the latest information.,True,strong,high,True,False,@119625 @116618 Why is Mr. Robot Season 3 still not available in Prime Video?? || @119625 when is season 3 of Mr. Robot coming to Prime Video? || @129773 hey has mr Robot been uploaded for this week it's not available on my prime video || @119625 will the third season of mr robot be available on prime videos along with US? || @115830 Hi - When is Mr Robot Season 3 on prime video?,"@263840 We’re constantly adding new content to our library. Stay tuned! ^PR || @152963 Expect it soon, Saurabh. We're constantly adding content, stay tuned :) ^JC || @423880 Thank you for reaching out, Mike! You can find the available episodes here: https://t.co/qAUQ14yOvZ ^HM || @297512 We haven't made any announcement yet. Please stay tuned for the update. ^HN || @307426 I'm sorry, we don't have any further info on this. We recommend to keep checking the site &amp; social media for updates. ^KM",2.0,2.0,2.0,2.0,0.0,
97,"Recibo una media de quince paquetes mensuales de @116928 y LOS ÚNICOS que siempre entregan con retraso, son @135806 @137605","Hola, lamentamos el retraso en tus entregas. ¿Podrías indicarnos si estos pedidos fueron gestionados por Amazon directamente o por un vendedor externo? También, ¿has contactado con la compañía de transporte para obtener más detalles sobre el retraso?",True,strong,high,True,True,"No pude estar para recibir mi paquete y @116875 ya lleva 2 días de retraso en la reentrega. :( || Un paquete de @116928 que lleva dos días de retraso... Entro a mirar y pone que no tenía efectivo??? Harto de @137605 https://t.co/PhefzMI3FG || @115821 todavía sigo esperando mi paquete con 2 días de retraso, esta es la última vez que os compro || @116928 Tengo un pedido con retraso, se entragaba hoy y no ha venido. Cómo reclamo? Soy Prime. || Y ya van dos envíos de @116928 con los que tengo problemas de entrega... repartidor @137605 y no he recibido ninguno... 😡😡😡😡","@143182 Hola, Siomara. Lamentamos mucho este inconveniente, sin mencionar detalles de tu cuenta o el número de tu pedido, ¿podrías por favor indicarnos si este pedido fue gestionado por Amazon directamente o por un vendedor externo? ^CB || @185861 Hola Barbiturico, sentimos lo ocurrido. ¿Has reportado lo que indicas con Soporte al Cliente? ^DA || @320049 Hola, lamentamos el inconveniente. ¿El pedido fue enviado y gestionado por Amazon o por algún vendedor externo? ^MB || @167050 Hola Saray, Lamentamos las molestias. ¿has intentado contactar al transportista para verificar el estatus de tu pedido? ^HC || @663528 Lamento el inconveniente, Dani. ¿Has contactado con la compañía de transporte para obtener más detalles? ^JQ",2.0,2.0,2.0,2.0,0.0,
114,"Great, Amazon order is showing as delivered ""handed to resident"" at 11.57. They weren't so where are my items @115830",I'm sorry you haven't received your order. We'd like to look into the delivery and available options here: https://t.co/JzP7hlA23B. Please provide more details about the situation so we can assist you further.,True,strong,high,True,True,"@115830 I've been told that my order has been delivered and was 'handed to the resident'... it hasn't. I've been sat in waiting for it all day and nothing, so tell me where my package is? || @115830 It appears you have delivered my parcel to someone else. Order status is marked as ""handed to resident"" when it was not handed to resident at all. || @amazonhelp So my order was due to arrive tomorrow as I'm away, but online it says my order was 'handed to resident'? How? I'm not there!! || @115830 My order has been delivered and ‘handed to a resident’ according to the tracking option. Can confirm my order has not arrived at all. Any idea what’s up? || @AmazonHelp where's my parcel? My order Was due to be delivered by 9pm Was apparently 'handed to resident' at 11.25pm? No it wasn't!? Where is it?","@288176 I'm sorry you haven't received your order. We'd like to look into the delivery and available options here: https://t.co/JzP7hlA23B ^LI || @678408 I'm sorry to hear of the missed delivery, Jason! Please try the tips listed here to recover it: https://t.co/uo586yg1Kj. Let us know if that helps! ^CS || @492324 Hey Maria. Sorry to hear. Have you a delivery preference set up? It's possible that your parcel may have been left with a neighour. ^TP || @272308 I'm so sorry you don't have your order, Kimothy! We'd love to help out in any way we can. Please give these steps a try, and keep us updated on the outcome: https://t.co/XSbk2OFHaS. ^WJ || @198930 I'm sorry to hear you don't have your parcel! We can help with this! For tips on locating parcels that have been delivered, visit us here: https://t.co/GcpXc853vG ^TK",2.0,2.0,2.0,2.0,0.0,
121,@115830 your listing showed the item on the left and promised “no wires” what I got was on the right and they want to deduct postage from the refund. Very unimpressed. https://t.co/BS67hqN3yr,I'm sorry to hear about the discrepancy between the item you ordered and what you received. Could you please provide us with your order number so we can investigate further? You can also contact our support team at https://www.amazon.com/gp/contact/amazonsupport for assistance.,True,strong,high,True,True,@119625 why is The Wire not available here? 😭😭😭 || @115850 need a refund and a return. The lights are all broken and the wires burnt. https://t.co/KxF4KjqLLy || @115850 If you cannot deliver the item which was ordered take it off from the list.On left is what I received &amp; on right what I ordered https://t.co/mdnzRo6pka || @115821 straight up just refunded me the wrong item. I just give up. || What you show and what you send @115850 ! We returned the first and got the same thing back again. #productinfofail #poorspecs https://t.co/WdOxgHZOma,@667975 We will continue to add new content. Keeping checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. ^NR || @410696 Apologies for the inconvenience. Please reach out to us here: https://t.co/vlvfJr4nN9 and we will help you. ^AH || @205900 I'm sorry for the incorrect item that is delivered to you. Call us here: https://t.co/vlvfJr4nN9 &amp; we'll get this sorted. ^MJ || @282886 I am very sorry about the troubles with your refund! Let's take a look! Which Amazon site do you order from? ^FR || @735320 Sorry to know you received different item twice. Certainly not intended. Have you reported this to our support team here: https://t.co/TdDksLo6Mf. We'll definitely look into it. ^PS,1.0,1.0,2.0,1.0,0.0,
139,"@AmazonHelp Ademas de que era el regalo de cumpleaños de mi padre, y ahora pues sirve de bien poco que lo envien, ya que el no esta.",@AmazonHelp Lamento que el regalo de cumpleaños de su padre no llegara a tiempo. Recomiendamos que contacten con nuestro servicio de atención al cliente para verificar las posibles soluciones. ¿El pedido era gestionado por Amazon o por un vendedor independiente?,True,strong,high,True,True,"@AmazonHelp Todos los regalos de Navidad y otros para mi || @AmazonHelp Ayer. Pero ya está arreglado. Respecto a los inconvenientes ocasionados no me regaleis nada, que ya se que no lo hacéis. || @AmazonHelp El problema añadido es que era el regalo de cumpleaños de uno de mis hijos y no hay tiempo (ganas) de pedirlo de nuevo. Seria el 3er pedido || @AmazonHelp @132703 Sois rapidos hasta por aqui. Lo malo es que el cumpleaños para el que iban estos regalos ya me lo han jodido... || @AmazonHelp primero fue el 10 y luego la cambiaron al 13. Es un regalo de cumpleaños que es mañana, y ahora qué, se queda sin regalo?","@143192 Alex, gracias por tu respuesta, ¡esperamos que disfrutes mucho todas tus compras y gracias de nuevo por confiar en Amazon para tus compras de fin de año! ^CB || @154663 Lamentamos esta experiencia, recuerda que puedes reportar incidencias con Soporte al Cliente. ¡Saludos! ^FZ || @174537 Sergio, te recomendamos contactar a nuestros compañeros de Servicio al cliente para verificar la posibles soluciones. ^HC || @733103 Cesar, si no recibes tu pedido hasta al final del día, por favor avísanos.^HC || @169524 Comprendo Samuel, lamento cualquier inconveniente ocasionado. ¿Has contactado con la empresa de transportes para verificar lo sucedido y opciones disponibles? ¿El pedido era gestionado por Amazon o por un vendedor independiente? ^KS",2.0,2.0,2.0,2.0,0.0,
149,@115850 service sucks. Never trust amazon.,We've responded to similar concerns here: https://t.co/XoYCH1ahht. Please check and let us know if you need further assistance.,True,strong,high,True,False,"@115850 This type of service not believe by amazon || @115850 very poor service Amazon || @115850 Amazon have the very bad quality of service. || @115850 Worst service of amazon I feel || @115850 very very disappointed with amazon service, never ever buy products from amazon",@672512 We have responded to your concern here: https://t.co/XoYCH1ahht. Request you to check. ^MP || @174955 Kindly share your details using the link we had shared. We'll help you. ^CB || @195046 That's quite a remark! Could you let us know what went wrong? We'd like to look into it.. ^HD || @348284 We've responded to your query here: https://t.co/66UCsVeb1H. Kindly check. ^PS || @627715 I'm sorry if we disappointed you. Could you elaborate your concern so that I can assist you accordingly? ^AU,2.0,2.0,1.0,1.0,0.0,
185,"架空請求のSMS来た
Amazonで有料動画とか見覚えなさすぎたから調べたら架空請求だった
身近なんですね",企業を装って個人情報を取得しようとする詐欺が発生しているようです。架空請求を受け取られた場合、連絡や個人情報を提供しないようご注意ください。追加の詳細が必要な場合は、再度ご連絡ください。,True,strong,high,True,True,偽amazonから架空請求きた。 || Amazonから架空請求きた || Amazonから架空請求きてるしいろんな意味で鬱 || Amazonから架空請求来た。 ご苦労様ですねw https://t.co/DLgFSkEaYP || Amazonを装った架空請求がSMSできました。,@198256 アマゾンです。企業を装い個人情報を取得しようとする詐欺が発生しているようですので、どうぞご注意くださいませ。こちらも合わせてご参照ください。https://t.co/vz9gr0hEq3 ET || @428517 すでにお分かりかとは存じますが、Amazonからそのような内容のメールやメッセージはお送りしておりません。Amazonを騙るメールやメッセージを受信された場合、連絡したり個人情報を登録したりしないようご注意ください。 TN || @762075 アマゾンです。当サイトを装い個人情報を取得しようとする詐欺が発生しているようですので、どうぞご注意くださいませ。メールの識別方法についてのヘルプページをご用意しておりますので、ご参照ください。https://t.co/PBFHSPHfIx ET || @734377 ツイート拝見しました。Amazonです。企業を装い、お客様の情報を不正に取得しようとする悪質な詐欺が発生しています。これからも身に覚えのないメールに連絡や、個人情報の登録等をいただかないようお気を付けください。MH https://t.co/HfjLdzXCLP || @350252 リプライ失礼いたします。Amazon公式です。当サイトの名を語る心当たりのないSMSやEメールを受信された場合、決してご連絡いただかないようにご注意ください。また、添付ファイルやリンクがあっても開かないようお願いいたします。 HM,2.0,2.0,2.0,2.0,0.0,
190,@AmazonHelp What happened to this in shipping? I'm afraid to feed my cats half of these cans because they're that damaged. https://t.co/338hgby0rx,I'm sorry to hear about the damaged cans in your shipment. We'd like to help. Please reach out to our Customer Support team via phone or chat here: https://t.co/hApLpMlfHN.,True,strong,high,True,True,"@AmazonHelp Ordered some cat food that arrived with open cans. I dont think I can feed this to my cats. || @117093 this is the third smashed crate out of four delivery's to my home. Once almond milk. Twice tomato sauce cans. Please advise what I can do to stop having shattered product delivered to my home. Thank you. https://t.co/bhqKrNxkir || On the plus side I tried to return the cat food I accidentally bought and amazon reimbursed me and told me I didn’t need to send it back. You rock @115821 !! || @115821 @AmazonHelp Contact me. Now. I expect recompense. My cats are, quite literally, starving right now bc of you and your shipping. || My recent @AmazonHelp pantry purchase of 40 cans of soup had 14 cans dented so badly I wouldn't have bought them in a store. It was either poor packaging or they were dented before shipping. They were loose in the box, box was fine.","@460675 I'm sorry about these opened cat food cans! We'd like to help. Please reach out via phone/chat here: https://t.co/1RQ4PL9zId ^BE || @710666 I'm so sorry to see your order arrived this way! This isn't what we hoped for when your items arrived! Have you had a chance to report this to our Customer Support team: https://t.co/hApLpMlfHN? ^ME || @664404 Thanks Courtney! We're happy to be of service! ^CC || @334022 Sorry to hear your order didn't arrive as expected! Please reach out to us via phone/chat here: https://t.co/hApLpMlfHN ^KP || @628843 Terribly sorry to hear about that, Rex! We'd like to help. Please give us a call or chat here: https://t.co/hApLpMlfHN ^JD",2.0,2.0,2.0,2.0,0.0,
198,"ねえこれ何？？？
Amazonなんか使ってないんだけど
アカウントはあるけど何も買ってないんだけど。
誰かにアカウント悪用されてるのかな？？？かけたほうがいいの？？？ https://t.co/enCIy8aFML",ご心配ありがとうございます。最近何か届いた荷物はありませんか？もし、注文していない商品が届いた場合は、お手数ですがカスタマーサービスに連絡してください。https://t.co/J6YEizo6qC,True,strong,high,True,True,Amazonからなんか荷物くるけど最近何も買ってないよ？？？？🤔 || なぜアマゾンのカスタマーセンターから電話がかかってくる？なんか流出したか？アカウント乗っ取られたか？ || Amazonのアカウント？会員？作ってないんだけどなにこれ https://t.co/Q5qQKlp4LI || やっとAmazonから荷物届いたのは良いんだけど待たされた挙句頼んだ色と別のカラーが届いたんだけど？どうしてくれるんだ？？？ || うわぁ大変だ！なんか電話番号教えてないのにAmazonからメッセージが届いたぞ！？しかも公式サイトのURLじゃなくて電話番号しか書いてないとかこれもう電話じゃないと対応してやらんぞ！ってことかな？電話しないとヤバイかなぁ？まずAmazonで後払いって謎だけども！！ https://t.co/31hUlgd2Nj,@662939 ご家族の方の注文ではないか、また、第三者からの贈り物ではないかどうかご確認ください。お心当たりがない場合は、お調べした上でご案内いたしますので、リンクよりカスタマーサービスにお問い合わせください。https://t.co/J6YEizo6qC TN || @634253 アマゾンです。ご心配な点などございましたら、カスタマーサービスにて確認させていただきますので、こちらのリンクよりお問い合わせください。https://t.co/NtNAX37Sr4 ET || @318178 リプライ失礼いたします。Amazon公式です。当サイトの名を語る心当たりのないSMSやEメールを受信された場合、決してご連絡いただかないようにご注意ください。また、添付ファイルやリンクがあっても開かないようお願いいたします。 HM || @760164 ご迷惑をおかけしております。 ご注文商品とお届けした商品が相違しているとのことですので、お手数ですが交換（交換不可な場合は返品）のお手続きをお願いいたします。https://t.co/oikNO0Lhiv (出品者の発送商品の場合は出品者へお願いいたします。https://t.co/MtlmlvvBKB)TY || @411186 ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。 https://t.co/st4oU5QbhP を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ https://t.co/SRAN3og5Hh SK,2.0,2.0,2.0,2.0,0.0,
